,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance,team_std,situation,from_date,to_date,fetch_date
14,Jordan Binnington,STL,32,115.3,100,75,25,0.750,13.01,-10.50,15.71,30,17,13,0.567,6.76,-6.82,35,26,9,0.743,4.68,-3.93,34,31,3,0.912,1.56,-0.02,0,20,27.89,19.56,STL,pk,2025-10-07,2025-11-20,2026-02-16
15,John Gibson,DET,37,157.66666666667,134,115,19,0.858,7.23,0.43,22.43,33,25,8,0.758,3.04,-1.21,43,37,6,0.860,2.28,0.23,58,53,5,0.914,1.90,0.09,0,23,28.71,23.16,DET,pk,2025-10-07,2025-11-20,2026-02-16
16,Andrei Vasilevskiy,T.B,37,200.16666666667,163,147,16,0.902,4.80,7.64,28.11,60,50,10,0.833,3.00,2.35,49,45,4,0.918,1.20,3.10,53,51,2,0.962,0.60,2.65,0,35,25.68,17.88,TBL,pk,2025-10-07,2025-11-20,2026-02-16
17,Matt Murray,SEA,5,16.916666666667,15,11,4,0.733,14.19,-1.82,2.51,4,2,2,0.500,7.09,-1.18,5,3,2,0.600,7.09,-1.28,6,6,0,1.000,0.00,0.53,0,1,26.73,18.25,SEA,pk,2025-10-07,2025-11-20,2026-02-16
18,Joonas Korpisalo,BOS,22,103.56666666667,94,82,12,0.872,6.95,1.63,16.51,39,35,4,0.897,2.32,4.03,25,21,4,0.840,2.32,-0.38,30,26,4,0.867,2.32,-1.37,0,20,24.13,21.33,BOS,pk,2025-10-07,2025-11-20,2026-02-16
19,Anthony Stolarz,TOR,16,71.583333333333,71,62,9,0.873,7.54,1.30,12.66,28,23,5,0.821,4.19,0.76,21,18,3,0.857,2.51,0.04,22,21,1,0.955,0.84,0.93,0,16,23.35,22.22,TOR,pk,2025-10-07,2025-11-20,2026-02-16
20,Connor Hellebuyck,WPG,36,186.11666666667,144,125,19,0.868,6.13,1.89,26.73,51,41,10,0.804,3.22,0.50,52,45,7,0.865,2.26,0.54,41,39,2,0.951,0.64,1.60,0,34,25.53,22.68,WPG,pk,2025-10-07,2025-11-20,2026-02-16
21,Linus Ullmark,OTT,30,141.53333333333,110,87,23,0.791,9.75,-7.05,16.27,34,22,12,0.647,5.09,-5.00,40,32,8,0.800,3.39,-2.20,34,31,3,0.912,1.27,-0.02,0,12,26.49,19.57,OTT,pk,2025-10-07,2025-11-20,2026-02-16
22,Marcus Hogberg,NYI,1,2,3,3,0,1.000,0.00,0.44,0.35,1,1,0,1.000,0.00,0.21,0,0,0,-,0.00,0.00,2,2,0,1.000,0.00,0.18,0,2,26.67,-,NYI,pk,2025-10-07,2025-11-20,2026-02-16
23,Juuse Saros,NSH,44,204.43333333333,156,133,23,0.853,6.75,-0.37,25,72,57,15,0.792,4.40,-0.18,40,34,6,0.850,1.76,-0.20,43,41,2,0.953,0.59,1.77,1,21,22.52,16.04,NSH,pk,2025-10-07,2025-11-20,2026-02-16
24,Tristan Jarry,"EDM, PIT",25,109.33333333333,99,81,18,0.818,9.88,-3.64,15.5,29,23,6,0.793,3.29,-0.03,39,32,7,0.821,3.84,-1.35,30,25,5,0.833,2.74,-2.37,1,16,26.39,22.56,"EDM, PIT",pk,2025-10-07,2025-11-20,2026-02-16
25,Eric Comrie,WPG,19,74.866666666667,67,51,16,0.761,12.82,-6.28,11.3,20,15,5,0.750,4.01,-0.88,32,25,7,0.781,5.61,-2.36,15,11,4,0.733,3.21,-2.68,0,15,26.54,25.50,WPG,pk,2025-10-07,2025-11-20,2026-02-16
26,Spencer Martin,NYR,6,29.883333333333,28,23,5,0.821,10.04,-0.94,5.08,14,10,4,0.714,8.03,-1.12,6,6,0,1.000,0.00,0.87,8,7,1,0.875,2.01,-0.30,0,8,21.68,15.20,NYR,pk,2025-10-07,2025-11-20,2026-02-16
27,Pheonix Copley,L.A,1,2.0833333333333,5,4,1,0.800,28.80,-0.27,0.59,1,0,1,0.000,28.80,-0.79,2,2,0,1.000,0.00,0.29,2,2,0,1.000,0.00,0.18,0,0,25.60,8.00,LAK,pk,2025-10-07,2025-11-20,2026-02-16
28,Thatcher Demko,VAN,20,92.366666666667,79,67,12,0.848,7.80,-0.54,15.77,36,29,7,0.806,4.55,0.41,19,15,4,0.789,2.60,-1.25,24,23,1,0.958,0.65,1.10,0,20,24.43,21.92,VAN,pk,2025-10-07,2025-11-20,2026-02-16
29,Alex Nedeljkovic,S.J,25,110.15,93,78,15,0.839,8.17,-1.51,13.54,30,23,7,0.767,3.81,-0.82,24,20,4,0.833,2.18,-0.52,39,35,4,0.897,2.18,-0.58,0,13,27.56,20.60,SJS,pk,2025-10-07,2025-11-20,2026-02-16
30,Vitek Vanecek,UTA,14,67.433333333333,63,53,10,0.841,8.90,-0.86,10.14,21,16,5,0.762,4.45,-0.68,18,14,4,0.778,3.56,-1.39,23,22,1,0.957,0.89,1.02,0,14,26.79,16.00,UTA,pk,2025-10-07,2025-11-20,2026-02-16
31,Jonas Johansson,T.B,19,92.1,69,57,12,0.826,7.82,-1.99,13.65,23,16,7,0.696,4.56,-2.27,24,19,5,0.792,3.26,-1.52,22,22,0,1.000,0.00,1.93,0,15,26.67,13.92,TBL,pk,2025-10-07,2025-11-20,2026-02-16
32,Elvis Merzlikins,CBJ,21,97.716666666667,106,89,17,0.840,10.44,-1.63,17.42,33,29,4,0.879,2.46,2.79,38,30,8,0.789,4.91,-2.49,35,30,5,0.857,3.07,-1.93,0,23,27.71,27.65,CBJ,pk,2025-10-07,2025-11-20,2026-02-16
33,Ilya Sorokin,NYI,35,165.53333333333,163,144,19,0.883,6.89,4.64,31.96,74,66,8,0.892,2.90,7.23,47,40,7,0.851,2.54,-0.19,41,37,4,0.902,1.45,-0.40,0,51,21.99,21.74,NYI,pk,2025-10-07,2025-11-20,2026-02-16
34,Ville Husso,ANA,12,57.916666666667,44,38,6,0.864,6.22,0.38,6.98,9,6,3,0.667,3.11,-1.15,12,11,1,0.917,1.04,0.74,23,21,2,0.913,2.07,0.02,0,5,29.93,13.83,ANA,pk,2025-10-07,2025-11-20,2026-02-16
35,Igor Shesterkin,NYR,34,170.11666666667,158,136,22,0.861,7.76,0.92,27.2,53,43,10,0.811,3.53,0.91,43,36,7,0.837,2.47,-0.77,62,57,5,0.919,1.76,0.44,0,33,28.37,23.68,NYR,pk,2025-10-07,2025-11-20,2026-02-16
36,Mackenzie Blackwood,COL,22,104.88333333333,90,81,9,0.900,5.15,4.05,16.25,41,37,4,0.902,2.29,4.44,27,23,4,0.852,2.29,-0.09,22,21,1,0.955,0.57,0.93,1,28,23.78,23.00,COL,pk,2025-10-07,2025-11-20,2026-02-16
37,Dan Vladar,PHI,33,147.35,120,100,20,0.833,8.14,-2.60,20.37,32,26,6,0.813,2.44,0.59,45,35,10,0.778,4.07,-3.48,43,39,4,0.907,1.63,-0.23,1,28,28.82,24.55,PHI,pk,2025-10-07,2025-11-20,2026-02-16
38,Sam Montembeault,MTL,23,122.08333333333,114,96,18,0.842,8.85,-1.47,22.63,49,41,8,0.837,3.93,2.09,36,29,7,0.806,3.44,-1.78,29,26,3,0.897,1.47,-0.46,1,35,23.75,23.83,MTL,pk,2025-10-07,2025-11-20,2026-02-16
39,Adin Hill,VGK,12,34.333333333333,26,21,5,0.808,8.74,-1.23,5.55,13,10,3,0.769,5.24,-0.32,6,5,1,0.833,1.75,-0.13,7,6,1,0.857,1.75,-0.39,0,9,23.77,16.80,VGK,pk,2025-10-07,2025-11-20,2026-02-16
40,Karel Vejmelka,UTA,44,234.1,211,184,27,0.872,6.92,3.60,39.65,69,54,15,0.783,3.84,-0.80,66,59,7,0.894,1.79,2.57,74,69,5,0.932,1.28,1.49,1,55,28.95,20.78,UTA,pk,2025-10-07,2025-11-20,2026-02-16
41,Joey Daccord,SEA,33,125.93333333333,139,112,27,0.806,12.86,-6.84,22.41,46,35,11,0.761,5.24,-1.53,42,34,8,0.810,3.81,-1.91,51,43,8,0.843,3.81,-3.53,0,32,26.08,22.63,SEA,pk,2025-10-07,2025-11-20,2026-02-16
42,Connor Ingram,EDM,13,50.733333333333,42,35,7,0.833,8.28,-0.91,6.95,11,7,4,0.636,4.73,-1.74,13,11,2,0.846,2.37,-0.12,18,17,1,0.944,1.18,0.58,0,6,27.12,14.00,EDM,pk,2025-10-07,2025-11-20,2026-02-16
43,Casey DeSmith,DAL,21,107.1,87,74,13,0.851,7.28,-0.38,15.67,33,24,9,0.727,5.04,-2.21,23,22,1,0.957,0.56,2.33,28,26,2,0.929,1.12,0.46,1,20,30.66,25.69,DAL,pk,2025-10-07,2025-11-20,2026-02-16
44,Charlie Lindgren,WSH,19,104.5,99,81,18,0.818,10.33,-3.64,15.78,27,17,10,0.630,5.74,-4.44,26,24,2,0.923,1.15,1.77,46,40,6,0.870,3.44,-1.97,0,15,27.74,20.39,WSH,pk,2025-10-07,2025-11-20,2026-02-16
45,Alex Lyon,BUF,27,127.6,124,112,12,0.903,5.64,5.98,19.69,42,38,4,0.905,1.88,4.65,34,30,4,0.882,1.88,0.93,48,44,4,0.917,1.88,0.21,1,27,28.27,26.17,BUF,pk,2025-10-07,2025-11-20,2026-02-16
