name,team,position,salary,projected_fpts,count,pct,std_fpts,baseline_pct,lift
Tim Washe,ANA,C,2500,2.449756394661984,20,0.8,2.96,9.3,0.1
William Carrier,CAR,W,2500,4.173960798538916,17,0.7,4.19,6.9,0.1
Jesperi Kotkaniemi,CAR,W,2500,3.9321648869591046,16,0.7,3.52,6.9,0.1
Lukas Dostal,ANA,G,7600,9.27108684718523,15,0.6,0.0,16.7,0.0
Jeff Malott,LAK,W,2500,3.179768022398327,10,0.4,3.3,6.9,0.1
Steven Santini,TBL,D,2500,3.0163042938553373,9,0.4,2.65,4.5,0.1
Sam Colangelo,ANA,W,2500,2.6497281036436653,6,0.3,3.21,6.9,0.0
Erik Cernak,TBL,D,2600,4.527886511968386,3,0.1,2.08,4.5,0.0
Jaccob Slavin,CAR,D,2900,4.765310689634502,3,0.1,2.36,4.5,0.0
Michael Callahan,BOS,D,2500,3.5223695171188183,1,0.0,1.34,4.5,0.0
