name,team,position,salary,projected_fpts,dk_avg_fpts,edge,value,floor,ceiling,player_type
Olen Zellweger,ANA,D,3000,8.83482889710014,6.54,2.29482889710014,2.9449429657000468,2.208707224275035,27.08707224275035,skater
Kasperi Kapanen,EDM,W,2500,8.799989651191316,6.89,1.9099896511913164,3.5199958604765262,2.199997412797829,26.99997412797829,skater
Bobby Brink,PHI,W,3500,8.707357754384736,7.03,1.6773577543847358,2.4878165012527815,2.176839438596184,26.76839438596184,skater
Will Cuylle,NYR,W,4100,8.700301587105873,7.9,0.8003015871058725,2.122024777342896,2.175075396776468,26.75075396776468,skater
Pavel Zacha,BOS,C,3700,8.594733782313073,7.7,0.8947337823130725,2.3229010222467763,2.148683445578268,26.48683445578268,skater
Mattias Ekholm,EDM,D,3800,8.514146322547276,7.82,0.6941463225472759,2.2405648217229674,2.128536580636819,26.28536580636819,skater
Vladislav Gavrikov,NYR,D,4300,8.4864626566763,7.14,1.3464626566763007,1.9735959666689071,2.121615664169075,26.216156641690752,skater
Cam York,PHI,D,3900,8.227294021641253,8.43,-0.20270597835874682,2.109562569651603,2.0568235054103132,25.568235054103134,skater
J.J. Moser,TBL,D,3000,7.985867466099965,6.26,1.7258674660999649,2.6619558220333217,1.9964668665249912,24.96466866524991,skater
Travis Sanheim,PHI,D,3500,7.984146454635569,7.69,0.29414645463556877,2.2811847013244484,1.9960366136588923,24.960366136588924,skater
Hampus Lindholm,BOS,D,3000,7.938464563355226,7.96,-0.021535436644773753,2.646154854451742,1.9846161408388066,24.846161408388067,skater
Oliver Bjorkstrand,TBL,W,3300,7.857346040715856,6.01,1.8473460407158564,2.381013951732078,1.964336510178964,24.64336510178964,skater
Sean Durzi,UTA,D,4500,7.757116127918817,8.93,-1.172883872081183,1.7238035839819592,1.9392790319797042,24.392790319797044,skater
Rasmus Ristolainen,PHI,D,3500,7.746821322404507,7.17,0.5768213224045073,2.213377520687002,1.9367053306011268,24.367053306011268,skater
Noah Cates,PHI,W,3400,7.6616178174818685,6.85,0.8116178174818689,2.253417005141726,1.9154044543704671,24.15404454370467,skater
Jamie Drysdale,PHI,D,3100,7.442389003161972,5.86,1.582389003161972,2.4007706461812814,1.860597250790493,23.60597250790493,skater
Max Crozier,TBL,D,2800,7.374512377808958,5.47,1.9045123778089579,2.6337544206460564,1.8436280944522394,23.436280944522395,skater
