name,team,position,salary,projected_fpts,dk_avg_fpts,edge,value,floor,ceiling,predicted_ownership,ownership_tier,leverage_score,dk_id
Mike Reilly,CAR,D,2500,7.1456342954661665,5.35,1.7956342954661668,2.8582537181864667,1.7864085738665416,22.864085738665416,1.039533191160897,Contrarian (<5%),3.50356362251643,41767889
Jamie Drysdale,PHI,D,3400,7.136613414846703,5.88,1.2566134148467034,2.099003945543148,1.7841533537116758,22.84153353711676,1.039533191160897,Contrarian (<5%),3.499140610104296,41767635
Noah Cates,PHI,W,3300,7.13541394632225,6.7,0.4354139463222495,2.162246650400682,1.7838534865805624,22.838534865805624,0.7847644920794554,Contrarian (<5%),3.9979582617136638,41766575
Drew Doughty,LAK,D,3400,7.132578641856896,6.04,1.0925786418568961,2.0978172476049695,1.783144660464224,22.83144660464224,0.7969754465566875,Contrarian (<5%),3.969213188485206,41767637
Vasily Podkolzin,EDM,W,3500,7.108899646634714,5.97,1.138899646634714,2.0311141847527754,1.7772249116586785,22.772249116586785,0.6123194430067836,Contrarian (<5%),4.409113639030156,41767029
Mason Lohrei,BOS,D,2700,7.105624359908211,6.44,0.665624359908211,2.63171272589193,1.7764060899770528,22.764060899770527,1.1954631698350315,Contrarian (<5%),3.2365035576716745,41767745
Matt Duchene,DAL,C,3800,7.100495075302858,6.24,0.8604950753028575,1.8685513356060153,1.7751237688257144,22.751237688257145,2.354293476238366,Contrarian (<5%),2.116837756028917,41766553
Max Crozier,TBL,D,2600,7.054199999957803,5.38,1.6741999999578034,2.7131538461376166,1.7635499999894508,22.63549999989451,1.039533191160897,Contrarian (<5%),3.4587326308441058,41767773
Louis Crevier,CHI,D,2900,7.0080380645537685,5.74,1.2680380645537683,2.416564849846127,1.7520095161384421,22.520095161384422,0.693022127440598,Contrarian (<5%),4.139365901347119,41767705
Ilya Mikheyev,CHI,W,3000,6.9843777558743145,5.67,1.3143777558743146,2.3281259186247714,1.7460944389685786,22.460944389685785,0.17748389652370541,Contrarian (<5%),5.931612123524022,41767089
