date_label,pct_drafted,predicted_own,error,abs_error
feb01,1.12,2.4898454950339413,1.3698454950339412,1.3698454950339412
feb01,1.12,3.1724621564084794,2.0524621564084793,2.0524621564084793
feb01,0.84,2.0300046408918635,1.1900046408918636,1.1900046408918636
feb01,0.84,2.855324700295712,2.015324700295712,2.015324700295712
feb01,0.84,1.7644833284377945,0.9244833284377946,0.9244833284377946
feb01,0.56,1.853543163703536,1.293543163703536,1.293543163703536
feb01,0.56,2.612770021771547,2.052770021771547,2.052770021771547
feb01,0.56,1.843558689318506,1.283558689318506,1.283558689318506
feb01,0.56,3.3870294558052167,2.8270294558052167,2.8270294558052167
feb01,0.28,2.801416789975578,2.5214167899755777,2.5214167899755777
feb01,0.28,3.153916108523098,2.8739161085230975,2.8739161085230975
feb01,0.28,1.4439103914971843,1.1639103914971842,1.1639103914971842
