game_date,player_id,player_name,position,actual_fpts,predicted_fpts,std_fpts
2025-11-07,8482073,B. Schneider,D,11.2,5.890658,4.984104
2025-11-07,8482074,C. Zary,C,1.5,1.352967,1.5766904
2025-11-07,8482078,L. Raymond,L,3.0,12.931908,9.280416
2025-11-07,8482079,M. Rossi,C,11.5,7.469728,6.185152
2025-11-07,8482094,D. Hunt,D,7.5,3.6389043,2.2951012
2025-11-07,8482109,A. Lafrenière,L,15.5,6.8207965,5.5225883
2025-11-07,8482122,B. Faber,D,13.5,12.513754,7.917794
2025-11-07,8482157,W. Cuylle,L,20.7,8.768167,6.388008
2025-11-07,8482165,Y. Kuznetsov,D,6.0,10.100018,3.1270347
2025-11-07,8482166,S. Mukhamadullin,D,2.0,7.003372,4.518097
2025-11-07,8482176,W. Kaiser,D,3.1,2.4025729,2.4097233
2025-11-07,8482206,E. Cardwell,R,1.5,4.8706,4.1697865
2025-11-07,8482476,E. Heineman,L,19.5,9.477789,6.8255296
2025-11-07,8482679,M. Coronato,R,20.3,12.107546,9.279598
2025-11-07,8482703,C. Dach,C,4.5,2.2006707,2.0500662
2025-11-07,8482762,S. Edvinsson,D,7.1,7.663758,4.643795
2025-11-07,8482787,N. Chibrikov,R,0.5,1.1872559,1.270102
2025-11-07,8482877,J. Chmelar,R,0.0,-0.29687068,0.558343
2025-11-07,8483450,R. Greene,C,0.0,1.4965101,1.851124
2025-11-07,8483464,M. Kasper,C,-0.5,5.8202333,5.685703
2025-11-07,8483493,F. Nazar,C,0.0,5.3427515,3.308927
2025-11-07,8483506,S. Rinzel,D,2.5,3.0143962,2.0889554
2025-11-07,8483525,D. Yurov,R,12.0,3.233599,3.7405157
2025-11-07,8483609,A. Klapka,R,1.3,4.3183827,4.2964163
2025-11-07,8483690,N. Laba,C,16.1,4.509165,4.399128
2025-11-07,8484135,P. Ford,C,2.3,4.750553,3.7197013
2025-11-07,8484144,C. Bedard,C,34.0,15.586882,10.408971
2025-11-07,8484180,S. Honzek,L,-0.5,2.0741684,1.9593304
2025-11-07,8484197,O. Moore,C,3.0,4.6745434,2.911963
2025-11-07,8484221,C. Ritchie,C,8.4,2.3938172,1.7239405
2025-11-07,8484223,A. Sandin-Pellikka,D,2.3,4.6620736,4.1930423
2025-11-07,8484227,W. Smith,C,15.5,13.937264,10.531871
2025-11-07,8484471,E. Finnie,C,4.1,2.4317331,1.6812142
2025-11-07,8484768,Z. Parekh,D,0.0,1.4008276,1.4125559
2025-11-07,8484783,A. Levshunov,D,5.0,6.9000793,5.4027996
2025-11-07,8484798,Z. Buium,D,2.0,4.7786884,4.6829534
2025-11-07,8484801,M. Celebrini,C,26.5,15.889644,11.02012
2025-11-07,8484911,C. Graf,R,2.8,1.5055627,1.2092745
2025-11-07,8485366,M. Schaefer,D,2.3,14.853851,10.583246
2025-11-08,8470613,B. Burns,D,14.2,9.901344,6.5315785
2025-11-08,8471214,A. Ovechkin,L,5.3,6.209139,4.572521
2025-11-08,8471215,E. Malkin,C,2.5,9.491602,5.829733
2025-11-08,8471675,S. Crosby,C,10.0,10.948811,7.449194
2025-11-08,8471724,K. Letang,D,5.3,7.0334554,4.1386747
2025-11-08,8471817,R. Reaves,R,4.8,2.3011234,3.3493757
