assists,evGoals,evPoints,faceoff_pct,gw_goals,games_played,goals,lastName,ot_goals,pim,player_id,plus_minus,points,pointsPerGame,position,pp_goals,pp_points,seasonId,sh_goals,sh_points,shooting_pct,shootsCatches,shots,name,team,toi_per_game,goals_per_game,assists_per_game,points_per_game,shots_per_game,pp_points_per_game,goals_pg,assists_pg,points_pg,shots_pg,blocks_pg,pp_points_pg,pp_share,pp_goals_pg,sh_goals_pg,sh_points_pg,shooting_pct_adj,high_shot_volume,elite_shot_volume,prob_5plus_shots,prob_3plus_points,prob_hat_trick,is_center,is_wing,is_defense,toi_minutes,toi_vs_position,opponent,is_home,opp_ga_pg,opp_gf_pg,opp_softness,consistency,projected_fpts,floor,ceiling,salary,dk_position,dk_id,dk_avg_fpts,value,edge,games_started,goals_against,gaa,losses,ot_losses,penaltyMinutes,save_pct,saves,shots_against,shutouts,ties,toi,wins,saves_per_start,ga_per_start,shots_against_per_start,saves_pg,ga_pg,sa_pg,win_rate,save_pct_above_avg,high_workload,prob_35plus_saves,gaa_quality,team_gf_pg,team_ga_pg,team_quality,opp_offense_weakness
6,0.0,4.0,,0.0,18,0,Levshunov,0.0,8.0,8484783,-13.0,6,0.33333,D,0.0,2.0,20242025,0.0,0.0,0.0,R,21.0,Artyom Levshunov,CHI,1218.9444,0.0,0.3333333333333333,0.3333333333333333,1.1666666666666667,0.1111111111111111,0.0,0.3333333333333333,0.3333333333333333,1.1666666666666667,1.5,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.023572734787647896,1.2404935411305788e-06,7.095474162284704e-23,0.0,0.0,1.0,20.31574,1.11065048395128,TBL,True,2.5208333333333335,3.5416666666666665,0.8402777777777778,0.9814796597221467,5.86126330563097,2.344505322252388,19.653158264077426,3400,D/UTIL,41697156,5.95,1.7239009722444032,-0.08873669436902976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,9.0,0.0,1.0,31,6,Texier,0.0,10.0,8480074,-3.0,11,0.35483,L,1.0,2.0,20242025,0.0,0.0,0.12,L,50.0,Alexandre Texier,STL,749.258,0.1935483870967742,0.16129032258064516,0.3548387096774194,1.6129032258064515,0.06451612903225806,0.1935483870967742,0.16129032258064516,0.3548387096774194,1.6129032258064515,0.5,0.06451612903225806,0.18181818181818182,0.03225806451612903,0.0,0.0,0.12,0.0,0.0,0.08471056573073575,3.135473344468396e-06,4.1524200211755836e-14,0.0,1.0,0.0,12.487633333333333,0.9183412573086651,DAL,False,2.784313725490196,3.3137254901960786,0.9281045751633986,1.2297772558321611,5.861210612899784,2.3444842451599137,19.65302653224946,3900,W/UTIL,41696806,6.24,1.5028745161281498,-0.37878938710021615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2.0,18.0,,0.0,68,2,Murphy,0.0,52.0,8476473,-2.0,19,0.27941,D,0.0,0.0,20242025,0.0,1.0,0.0238,R,84.0,Connor Murphy,CHI,1236.897,0.029411764705882353,0.25,0.27941176470588236,1.2352941176470589,0.0,0.029411764705882353,0.25,0.27941176470588236,1.2352941176470589,1.5,0.0,0.0,0.0,0.0,0.014705882352941176,0.0238,0.0,0.0,0.03065073764601961,6.475650722688082e-08,6.159519316347959e-94,0.0,0.0,1.0,20.61495,1.1270081323216108,TBL,True,2.5208333333333335,3.5416666666666665,0.8402777777777778,1.1830591704021756,5.848238118400597,2.339295247360239,19.620595296001493,2800,D/UTIL,41697196,4.7,2.088656470857356,1.148238118400597,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4.0,18.0,,0.0,82,5,McNabb,0.0,32.0,8475188,42.0,20,0.2439,D,0.0,0.0,20242025,1.0,2.0,0.05154,L,97.0,Brayden McNabb,VGK,1206.7682,0.06097560975609756,0.18292682926829268,0.24390243902439024,1.1829268292682926,0.0,0.06097560975609756,0.18292682926829268,0.24390243902439024,1.1829268292682926,1.5,0.0,0.0,0.0,0.012195121951219513,0.024390243902439025,0.05154,0.0,0.0,0.025159343901852118,4.541538505020036e-09,3.291453250519816e-45,0.0,0.0,1.0,20.112803333333332,1.0995560464833465,TOR,False,3.32,3.32,1.1066666666666667,1.0777660019016093,5.823280816006674,2.3293123264026696,19.558202040016685,3300,D/UTIL,41697162,6.81,1.764630550305053,-0.9867191839933254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4.0,9.0,,1.0,38,4,Bichsel,0.0,41.0,8483425,2.0,9,0.23684,D,0.0,0.0,20242025,0.0,0.0,0.10256,L,39.0,Lian Bichsel,DAL,893.4473,0.10526315789473684,0.13157894736842105,0.23684210526315788,1.0263157894736843,0.0,0.10526315789473684,0.13157894736842105,0.23684210526315788,1.0263157894736843,1.5,0.0,0.0,0.0,0.0,0.0,0.10256,0.0,0.0,0.012272641523876662,2.434965288454475e-09,4.1774976453852733e-26,0.0,0.0,1.0,14.890788333333335,0.814071319520369,STL,True,3.42,2.42,1.14,0.8676856530307057,5.757931193772746,2.3031724775090985,19.394827984431867,2500,D/UTIL,41697380,2.55,2.3031724775090985,3.2079311937727466,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.0,16.0,0.52573,1.0,69,11,Haula,0.0,39.0,8475287,-6.0,21,0.30434,L,2.0,5.0,20242025,0.0,0.0,0.1,L,110.0,Erik Haula,NJD,882.2463,0.15942028985507245,0.14492753623188406,0.30434782608695654,1.5942028985507246,0.07246376811594203,0.15942028985507245,0.14492753623188406,0.30434782608695654,1.5942028985507246,0.5,0.07246376811594203,0.23809523809523808,0.028985507246376812,0.0,0.0,0.1,0.0,0.0,0.08156940232040363,2.889121581556238e-07,3.5977556383775806e-17,0.0,1.0,0.0,14.704105,1.0813407082712734,VAN,False,3.66,2.66,1.22,1.2930202910585007,5.697742444144202,2.279096977657681,19.244356110360506,3200,C/UTIL,41696618,6.58,1.780544513795063,-0.8822575558557979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3.0,4.0,,0.0,14,3,Kaliyev,0.0,2.0,8481560,2.0,4,0.28571,R,0.0,0.0,20242025,0.0,0.0,0.14285,L,21.0,Arthur Kaliyev,NYR,672.6428,0.21428571428571427,0.07142857142857142,0.2857142857142857,1.5,0.0,0.21428571428571427,0.07142857142857142,0.2857142857142857,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.14285,0.0,0.0,0.06633224988740995,9.685991312740994e-08,1.0060392792823047e-12,0.0,1.0,0.0,11.210713333333333,0.7866020331550942,SJS,False,3.5306122448979593,3.122448979591837,1.1768707482993197,0.7737286288863456,5.571565183295221,2.2286260733180887,18.92891295823805,2500,W/UTIL,41697070,5.5,2.2286260733180887,0.07156518329522132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11.0,26.0,0.25,2.0,78,12,Pearson,0.0,8.0,8476871,4.0,27,0.34615,L,0.0,0.0,20242025,1.0,1.0,0.11009,L,109.0,Tanner Pearson,VGK,707.1923,0.15384615384615385,0.19230769230769232,0.34615384615384615,1.3974358974358974,0.0,0.15384615384615385,0.19230769230769232,0.34615384615384615,1.3974358974358974,0.5,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.11009,0.0,0.0,0.05109061258824338,2.186222215246997e-06,8.448861291557757e-18,0.0,1.0,0.0,11.786538333333334,0.8667826915975629,TOR,False,3.32,3.32,1.1066666666666667,1.5125011797001229,5.429812902056328,2.1719251608225316,18.57453225514082,2500,W/UTIL,41696974,3.83,2.171925160822531,1.5998129020563283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,5.0,,0.0,39,0,Lundkvist,0.0,20.0,8480878,4.0,5,0.1282,D,0.0,0.0,20242025,0.0,0.0,0.0,R,52.0,Nils Lundkvist,DAL,900.6666,0.0,0.1282051282051282,0.1282051282051282,1.3333333333333333,0.0,0.0,0.1282051282051282,0.1282051282051282,1.3333333333333333,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0424249824979713,2.897784793817841e-17,7.095474162284704e-23,0.0,0.0,1.0,15.01111,0.8206492397592162,STL,True,3.42,2.42,1.14,0.4729332633479405,5.382371598896036,2.1529486395584145,18.45592899724009,2600,D/UTIL,41697222,4.66,2.0701429226523214,0.7223715988960357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1.0,,0.0,5,0,Solovyov,0.0,2.0,8482470,-3.0,1,0.2,D,0.0,0.0,20242025,0.0,0.0,0.0,L,6.0,Ilya Solovyov,CGY,940.2,0.0,0.2,0.2,1.2,0.0,0.0,0.2,0.2,1.2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02688617384976771,4.6109597445956297e-11,7.095474162284704e-23,0.0,0.0,1.0,15.67,0.8566703985932365,WSH,True,2.980392156862745,3.176470588235294,0.9934640522875817,0.358351893845611,5.380991033599697,2.1523964134398788,18.452477583999244,2500,D/UTIL,41697330,4.49,2.1523964134398788,0.8909910335996969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
