player_id,player_name,position,team,opponent,game_date,expected_fpts,median_fpts,std_fpts,floor_fpts,ceiling_fpts,p_above_10,p_above_15,p_above_20,p_above_25,p_hat_trick,p_3plus_points,p_5plus_sog,p_3plus_blocks,exp_goals,exp_assists,exp_shots,exp_blocks,n_historical_games,actual_fpts,error
8478508,Y. Trenin,C,MIN,NYI,2025-11-07,5.095339999999999,3.0,6.442286883118447,0.0,11.5,0.1522,0.061,0.0322,0.018,0.0074,0.0254,0.0744,0.0518,0.0974,0.2042,1.5086,0.5838,15,7.0,1.9046600000000007
8478550,A. Panarin,L,NYR,DET,2025-11-07,7.0784,4.5,7.303274706595665,0.0,16.0,0.265,0.115,0.061,0.0302,0.0104,0.0346,0.1428,0.025,0.1768,0.2852,2.282,0.326,14,25.5,18.421599999999998
8478840,W. Borgen,D,NYR,DET,2025-11-07,5.61362,4.1,6.911148420892146,0.0,12.5,0.1596,0.0616,0.0316,0.0196,0.0078,0.0262,0.0374,0.1912,0.0966,0.2086,1.0604,1.4064,14,1.8,3.8136200000000002
8478864,K. Kaprizov,L,MIN,NYI,2025-11-07,10.47972,8.5,9.172259521055867,1.5,22.8,0.4406,0.2372,0.1348,0.0768,0.021,0.0832,0.169,0.0338,0.3708,0.492,2.5408,0.4164,15,15.0,4.52028
8478874,A. Gaudette,R,SJS,WPG,2025-11-07,6.8824,4.5,8.154084267408573,0.0,17.0,0.258,0.1174,0.0638,0.038,0.0146,0.0456,0.0898,0.032,0.2638,0.2596,1.7526,0.316,10,1.0,5.8824
8478882,V. Gavrikov,D,NYR,DET,2025-11-07,5.7674199999999995,4.3,5.9880474733923075,0.0,12.6,0.1678,0.0632,0.0292,0.0164,0.0048,0.0226,0.0466,0.2016,0.076,0.2046,1.255,1.4504,14,4.1,1.66742
8478891,M. Appleton,C,DET,NYR,2025-11-07,5.83824,3.0,7.579062587312498,0.0,14.3,0.196,0.0902,0.0482,0.0274,0.0118,0.0384,0.0532,0.0532,0.2002,0.2438,1.2608,0.5918,14,7.3,1.46176
8479066,R. Lomberg,L,CGY,CHI,2025-11-07,4.4138,2.6,6.824866706390682,0.0,11.210000000000036,0.1278,0.0558,0.0288,0.017,0.0092,0.0254,0.0558,0.0314,0.11,0.1774,1.2686,0.383,15,0.0,4.4138
8479323,A. Fox,D,NYR,DET,2025-11-07,8.0803,6.3,7.318004229979647,1.3,17.1,0.2966,0.1308,0.064,0.0326,0.0064,0.0456,0.0784,0.2078,0.1344,0.4034,1.6858,1.5,14,5.0,3.0802999999999994
8479337,A. DeBrincat,R,DET,NYR,2025-11-07,9.970880000000001,8.0,9.041019412964449,1.5,21.0,0.4044,0.2038,0.1128,0.0654,0.0178,0.0776,0.185,0.0358,0.2678,0.521,2.6992,0.4106,14,4.0,5.970880000000001
8479378,L. Stanley,D,WPG,SJS,2025-11-07,6.296539999999999,4.5,6.549741218429931,0.0,14.1,0.207,0.085,0.0408,0.021,0.0046,0.0318,0.045,0.194,0.115,0.2856,1.1444,1.4048,13,7.1,0.8034600000000003
