game_date,player_id,player_name,position,actual_fpts,predicted_fpts,std_fpts,floor_fpts,ceiling_fpts,p_above_10,p_above_15,p_above_20,p_above_25
2025-11-08,8473986,A. Killorn,L,8.4,5.0172415,4.501479,0.34578064,11.133913,0.124,0.036,0.002,0.0
2025-11-08,8474013,I. Cole,D,12.1,6.488811,4.7302485,1.1398584,12.6914215,0.222,0.06,0.006,0.0
2025-11-08,8474102,D. Perron,L,8.3,1.9716749,2.739801,-0.052033868,5.791983,0.026,0.0,0.0,0.0
2025-11-08,8474151,R. McDonagh,D,1.3,5.2979403,4.0238533,1.9316002,10.67221,0.156,0.014,0.01,0.002
2025-11-08,8474189,L. Eller,C,0.8,3.2079086,4.0950313,0.22579598,11.244292,0.134,0.03,0.002,0.0
2025-11-08,8474564,S. Stamkos,C,10.8,8.442296,6.564721,1.6623894,18.639214,0.352,0.194,0.066,0.01
2025-11-08,8474574,T. Myers,D,8.3,8.98919,5.0139613,2.9857504,16.166046,0.336,0.118,0.036,0.01
2025-11-08,8474578,E. Karlsson,D,5.8,7.2889056,4.331246,1.9953535,13.131281,0.238,0.054,0.002,0.0
2025-11-08,8474586,J. Eberle,R,16.0,2.5690074,2.5087004,0.7832873,4.4598722,0.028,0.006,0.002,0.0
2025-11-08,8474590,J. Carlson,D,14.0,11.909956,7.5248184,3.7074194,23.191366,0.618,0.276,0.176,0.066
2025-11-08,8474641,A. Henrique,C,2.1,3.3299303,2.6555517,0.87659085,6.0950646,0.014,0.01,0.002,0.0
2025-11-08,8475151,K. Palmieri,C,10.0,10.808473,6.6158795,2.1337366,20.632687,0.468,0.244,0.114,0.036
2025-11-08,8475158,R. O'Reilly,C,12.0,12.131465,7.223817,2.4040039,22.635714,0.602,0.354,0.17,0.038
2025-11-08,8475166,J. Tavares,C,14.0,9.920673,7.683073,1.1788933,20.894232,0.426,0.25,0.116,0.032
2025-11-08,8475167,V. Hedman,D,5.0,11.401855,8.288795,2.5901358,23.01934,0.544,0.252,0.152,0.078
2025-11-08,8475169,E. Kane,L,6.5,13.7392235,6.9475684,5.3294597,23.706348,0.714,0.388,0.208,0.076
2025-11-08,8475170,B. Schenn,C,4.6,7.6781693,6.122063,2.3702419,17.342854,0.292,0.16,0.044,0.01
2025-11-08,8475171,O. Ekman-Larsson,D,6.5,3.1634846,3.2790103,0.21996807,7.5533075,0.052,0.002,0.0,0.0
2025-11-08,8475184,C. Kreider,L,2.0,13.803924,7.6832037,3.0121908,24.540808,0.782,0.354,0.208,0.096
2025-11-08,8475188,B. McNabb,D,3.1,7.734167,5.007853,2.1451685,14.945033,0.314,0.096,0.01,0.0
2025-11-08,8475191,R. Smith,R,1.5,1.9770491,2.1502373,0.42115304,3.9413824,0.016,0.0,0.0,0.0
2025-11-08,8475200,D. Orlov,D,6.8,7.769853,5.9997954,2.3246243,18.837578,0.304,0.168,0.078,0.024
2025-11-08,8475218,M. Ekholm,D,5.8,5.0261583,4.037685,1.5712956,9.348689,0.068,0.036,0.014,0.006
2025-11-08,8475231,C. Cizikas,C,0.0,2.2035856,2.3806865,0.28184226,5.446798,0.01,0.006,0.002,0.0
2025-11-08,8475287,E. Haula,L,5.0,6.0472345,4.1952405,1.2619697,12.167254,0.198,0.03,0.004,0.0
2025-11-08,8475314,A. Lee,L,11.8,8.8731,5.696963,1.9797486,15.465056,0.362,0.112,0.068,0.022
2025-11-08,8475324,N. Jensen,D,0.0,2.4048848,2.6848543,0.13751489,5.5066066,0.03,0.004,0.0,0.0
2025-11-08,8475343,N. Dowd,C,5.5,1.8305794,2.4371831,0.01755112,4.0536585,0.032,0.01,0.0,0.0
2025-11-08,8475455,B. Dillon,D,9.5,6.3817472,3.8587499,1.6822312,11.896585,0.194,0.03,0.0,0.0
2025-11-08,8475726,T. Toffoli,C,3.5,5.251926,4.7326055,0.7418561,12.651677,0.142,0.068,0.012,0.0
2025-11-08,8475745,C. Coyle,C,1.3,11.856013,6.796351,2.120865,21.094193,0.602,0.352,0.128,0.028
2025-11-08,8475753,J. Faulk,D,9.2,15.670805,7.123291,5.7368193,25.10329,0.778,0.512,0.266,0.102
2025-11-08,8475754,B. Nelson,C,3.3,5.5139546,5.924856,1.0839233,14.134009,0.186,0.09,0.018,0.0
2025-11-08,8475755,A. Petrovic,D,7.5,3.3759408,3.3539639,0.3779887,7.47785,0.064,0.008,0.0,0.0
2025-11-08,8475760,N. Bjugstad,C,1.0,12.266549,6.4294267,3.5034177,21.392986,0.608,0.326,0.144,0.032
2025-11-08,8475763,K. Hayes,R,0.0,0.538304,1.2176511,-0.35997188,1.3611318,0.0,0.0,0.0,0.0
2025-11-08,8475764,C. Fowler,D,7.3,8.566927,5.815255,2.3450842,15.708855,0.348,0.138,0.03,0.002
2025-11-08,8475768,J. Schwartz,L,4.8,2.9906301,2.5671902,0.69472474,5.578041,0.026,0.0,0.0,0.0
2025-11-08,8475784,J. Skinner,L,4.5,3.6742263,3.791315,0.75003916,7.4139724,0.062,0.028,0.004,0.0
2025-11-08,8475791,T. Hall,L,11.8,2.296012,2.9359787,-0.09761541,6.7685933,0.032,0.002,0.0,0.0
2025-11-08,8475794,T. Seguin,C,-0.5,3.303712,3.488623,0.38981834,7.0663652,0.066,0.016,0.0,0.0
2025-11-08,8475810,B. Rust,R,11.3,8.701357,6.460793,1.6837205,18.506927,0.384,0.212,0.064,0.008
2025-11-08,8475842,S. Carrick,C,1.0,1.9820716,2.8383439,-0.172026,5.5649633,0.026,0.0,0.0,0.0
2025-11-08,8475848,B. Gallagher,R,0.5,1.4459716,2.0379264,-0.15569688,3.0398467,0.026,0.004,0.0,0.0
2025-11-08,8475906,J. Klingberg,D,6.9,8.680648,5.184717,2.7814224,16.314634,0.288,0.134,0.042,0.004
2025-11-08,8476278,C. Blackwell,C,7.0,1.1831937,1.826644,-0.2574868,2.7507184,0.004,0.0,0.0,0.0
2025-11-08,8476292,O. Palat,L,9.2,4.3107605,3.383767,0.7835965,8.986738,0.07,0.002,0.0,0.0
2025-11-08,8476312,J. Manson,D,2.3,3.7768316,3.5197105,0.6278847,9.119332,0.068,0.004,0.0,0.0
2025-11-08,8476372,N. Seeler,D,6.4,6.29904,4.9454947,1.2942594,13.960861,0.228,0.07,0.016,0.002
2025-11-08,8476374,S. Kuraly,C,4.3,4.099184,4.425855,0.17695446,11.399633,0.126,0.034,0.002,0.0
2025-11-08,8476393,N. Cousins,C,-0.5,0.9431021,1.8056548,-0.40515175,2.9388509,0.018,0.0,0.0,0.0
2025-11-08,8476419,J. Pageau,C,28.6,10.76219,11.11643,1.2543805,27.774292,0.37,0.284,0.176,0.12
2025-11-08,8476422,M. Reilly,D,8.9,7.9669657,5.1071405,1.9359022,15.108592,0.32,0.102,0.024,0.0
2025-11-08,8476429,S. Mayfield,D,10.5,4.701166,3.1378622,1.222796,7.609494,0.034,0.012,0.002,0.0
2025-11-08,8476432,B. Jenner,C,5.8,6.869134,5.487505,1.462409,14.498084,0.276,0.086,0.022,0.004
2025-11-08,8476438,B. Saad,L,1.5,4.3979506,3.0281165,1.4968716,9.283708,0.066,0.004,0.0,0.0
2025-11-08,8476448,W. Karlsson,C,5.5,9.617992,6.6361446,2.4248664,17.91566,0.362,0.188,0.066,0.012
2025-11-08,8476453,N. Kucherov,R,3.5,18.320532,10.615812,4.7010317,33.600956,0.756,0.618,0.298,0.232
2025-11-08,8476454,R. Nugent-Hopkins,C,-2.0,3.9233882,3.6660247,1.2418476,7.873771,0.024,0.02,0.012,0.006
2025-11-08,8476455,G. Landeskog,L,1.3,2.4218388,3.0200005,0.33488235,6.2311,0.056,0.01,0.0,0.0
2025-11-08,8476457,A. Larsson,D,5.8,6.5378337,5.344037,1.3980122,15.402805,0.242,0.112,0.026,0.0
2025-11-08,8476459,M. Zibanejad,C,12.3,6.9924936,5.6410127,1.1133547,14.694879,0.286,0.094,0.02,0.002
2025-11-08,8476461,S. Couturier,C,-0.5,3.2683442,4.064292,0.34884816,6.471637,0.072,0.028,0.012,0.0
2025-11-08,8476467,J. Oleksiak,D,0.0,4.0871463,4.2233896,0.504273,7.841608,0.084,0.022,0.006,0.004
2025-11-08,8476468,J. Miller,C,3.3,8.641003,6.225144,1.532801,16.921972,0.326,0.158,0.04,0.004
