Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
39,5049105526,LushyLeanPocket,0,102,C Jack Eichel C Matt Savoie D Jake Walman D Alexandre Carrier G James Reimer UTIL Tomas Hertl W Mark Stone W Pavel Dorofeyev W Jack Roslovic,,Taylor Hall,UTIL,7.14%,6.3
40,5049380101,ararat73,0,101.3,C Sebastian Aho C Ryan Hartman D Jake Middleton D Jalen Chatfield G Filip Gustavsson UTIL Kaiden Guhle W Kirill Kaprizov W Seth Jarvis W Andrei Svechnikov,,Esa Lindell,D,7.14%,3
41,5048901247,gemma7,0,101.1,C Connor McDavid C Matt Duchene D Charlie McAvoy D Kaiden Guhle G Filip Gustavsson UTIL Ryan Nugent-Hopkins W Nikolaj Ehlers W Steven Stamkos W Jason Zucker,,Louis Crevier,D,7.14%,9.7
42,5048962014,giantsquid (2/3),0,100.00001,C Sidney Crosby C Ryan O'Reilly D K'Andre Miller D Ryan Shea G Spencer Knight UTIL Bryan Rust W Filip Forsberg W Rickard Rakell W Luke Evangelista,,Ryan Shea,UTIL,7.14%,7.8
43,5048730487,jaker1soe,0,96.49999,C Jack Eichel C Ryan McLeod D Mattias Samuelsson D Sean Walker G Filip Gustavsson UTIL Pavel Dorofeyev W Mark Stone W Jason Zucker W Jack Quinn,,Kirill Marchenko,W,6.55%,4.5
44,5048938718,clothsofheaven (4/4),0,95.9,C Sebastian Aho C Matt Savoie D Quinn Hughes D Alexander Nikishin G Filip Gustavsson UTIL Mats Zuccarello W Seth Jarvis W Andrei Svechnikov W Jack Roslovic,,Juraj Slafkovsky,W,5.95%,1.5
45,5049312864,Bears21 (1/3),0,95.10001,C Mitch Marner C Ryan O'Reilly D Roman Josi D Alexander Nikishin G Connor Hellebuyck UTIL Filip Forsberg W Pavel Dorofeyev W Luke Evangelista W Kirby Dach,,Tristan Jarry,G,5.95%,-9.8
46,5048702955,Koronin (1/4),0,94.5,C Ryan O'Reilly C Matt Savoie D Evan Bouchard D Lane Hutson G Juuse Saros UTIL Jack Roslovic W Filip Forsberg W Cole Caufield W Luke Evangelista,,Uvis Balinskis,D,5.95%,1.3
47,5049196213,saulgoodman23 (1/2),0,94,C Sam Bennett C Ryan O'Reilly D Jake Walman D Uvis Balinskis G Spencer Knight UTIL Luke Evangelista W Filip Forsberg W Matthew Tkachuk W Carter Verhaeghe,,Egor Chinakhov,W,5.95%,10
47,5049037457,jagibbs22 (1/2),0,93.99999,C Adam Fantilli C Logan Stankoven D Zach Werenski D Thomas Chabot G Jet Greaves UTIL Jackson Blake W Kirill Marchenko W Mason Marchment W Taylor Hall,,Cam Talbot,G,5.95%,15.5
49,5049155077,q80minouma,0,91,C Connor McDavid C Dylan Cozens D Jake Walman D Alexander Nikishin G Jet Greaves UTIL Zach Hyman W Nikolaj Ehlers W Ivan Barbashev W Ridly Greig,,Mitch Marner,UTIL,5.36%,9.3
50,5049167289,isupol (4/5),0,90.700005,C Ryan O'Reilly C Matt Duchene D Roman Josi D Miro Heiskanen G Cam Talbot UTIL Noah Ostlund W Filip Forsberg W Wyatt Johnston W Luke Evangelista,,Juuse Saros,G,5.36%,11.6
51,5049132517,bkreider (5/5),0,90.6,C Nick Suzuki C Oliver Kapanen D Evan Bouchard D Jake Walman G Casey DeSmith UTIL Wyatt Johnston W Cole Caufield W Ivan Demidov W Kirby Dach,,Quinn Hughes,D,5.36%,22.5
51,5049160669,ejamiec,0,90.6,C Ryan O'Reilly C Jonathan Toews D Josh Morrissey D Jared Spurgeon G Juuse Saros UTIL Filip Forsberg W Bryan Rust W Rickard Rakell W Luke Evangelista,,Zach Werenski,D,5.36%,19.9
51,5048796026,Firedog50 (2/5),0,90.59999,C Connor McDavid C Nick Suzuki D Mike Matheson D Mason Lohrei G Spencer Knight UTIL Jake Walman W Zach Hyman W Cole Caufield W Kirby Dach,,Mason Marchment,W,5.36%,2.8
54,5049153751,AJTruth33 (1/2),0,90.1,C Adam Fantilli C Noah Ostlund D Zach Werenski D Jake Walman G Spencer Knight UTIL Ryan Hartman W Kirill Marchenko W Mason Marchment W Vladimir Tarasenko,,Oliver Kapanen,C,4.76%,9.9
55,5049321845,Goblew14,0,89.700005,C Ryan Hartman C Dylan Cozens D Lane Hutson D Thomas Harley G Connor Hellebuyck UTIL Evgeni Malkin W Brady Tkachuk W Jackson Blake W Taylor Hall,,Roman Josi,D,4.76%,12.3
56,5049236702,HossDaBeast (1/5),0,88.3,C Jack Eichel C Logan Stankoven D K'Andre Miller D Ryan Shea G Ukko-Pekka Luukkonen UTIL Jason Robertson W Mark Stone W Jackson Blake W Taylor Hall,,Joel Eriksson Ek,C,4.76%,11.8
57,5049004849,Cwiert53 (1/2),0,88,C Jack Eichel C Tomas Hertl D Noah Hanifin D Nick Blankenburg G Tristan Jarry UTIL Logan Stankoven W Mark Stone W Jackson Blake W Taylor Hall,,Akira Schmid,G,4.17%,2.8
58,5049132515,bkreider (3/5),0,87.899994,C Connor McDavid C Ryan Nugent-Hopkins D Evan Bouchard D Jake Walman G Filip Gustavsson UTIL Pavel Zacha W Mats Zuccarello W Viktor Arvidsson W Casey Mittelstadt,,Matt Savoie,C,4.17%,10
59,5049014365,jtmistre,0,87.5,C Connor McDavid C Tomas Hertl D Jake Walman D Jeremy Lauzon G Connor Hellebuyck UTIL Cole Caufield W Pavel Dorofeyev W Vasily Podkolzin W Kirby Dach,,Sean Walker,D,4.17%,4.5
60,5049201214,cutnutz35 (1/5),0,84.8,C Tim Stuetzle C Danila Yurov D Jake Sanderson D Axel Sandin-Pellikka G Daniil Tarasov UTIL Eetu Luostarinen W Kirill Kaprizov W Drake Batherson W Mason Marchment,,Jonathan Toews,UTIL,4.17%,8
61,5048968864,tecmo27 (4/5),0,84.399994,C Jack Eichel C Mitch Marner D Esa Lindell D Louis Crevier G Filip Gustavsson UTIL Matt Duchene W Mark Stone W Pavel Dorofeyev W Kirby Dach,,Mike Matheson,D,4.17%,16.8
62,5049235744,NBARocks,0,84.3,C Jack Eichel C Logan Stankoven D Roman Josi D Logan Stanley G Juuse Saros UTIL Vladimir Tarasenko W Mark Stone W Jackson Blake W Taylor Hall,,Casey Mittelstadt,W,4.17%,0
62,5049287828,BSupple7,0,84.299995,C Jack Eichel C Logan Stankoven D Esa Lindell D K'Andre Miller G Casey DeSmith UTIL Vladimir Tarasenko W Mark Stone W Pavel Dorofeyev W Jackson Blake,,Rickard Rakell,W,4.17%,13
64,5049165910,easton136,0,84.2,C Roope Hintz C Ryan O'Reilly D Brock Faber D Axel Sandin-Pellikka G Spencer Knight UTIL James van Riemsdyk W Jason Robertson W Filip Forsberg W Vladimir Tarasenko,,Tage Thompson,C,4.17%,9.1
65,5048889946,B_Heals152 (5/5),0,83.6,C Connor McDavid C Elias Lindholm D Mike Matheson D Damon Severson G Jet Greaves UTIL Ryan Nugent-Hopkins W Zach Hyman W Boone Jenner W Kent Johnson,,Kyle Connor,W,4.17%,1.5
66,5049015731,sullybrochill,0,83.5,C Connor McDavid C Jordan Staal D Jake Walman D Alexander Nikishin G Jet Greaves UTIL Zach Hyman W Cole Caufield W Nikolaj Ehlers W Kirby Dach,,Josh Morrissey,D,4.17%,5.6
67,5048889943,B_Heals152 (2/5),0,83.399994,C Sidney Crosby C Shane Pinto D Alexander Nikishin D Sean Walker G Arturs Silovs UTIL Evgeni Malkin W Bryan Rust W Rickard Rakell W Nikolaj Ehlers,,Alexandre Carrier,D,3.57%,5.8
68,5049167290,isupol (5/5),0,83.200005,C Sam Bennett C Ryan O'Reilly D Alexander Nikishin D Uvis Balinskis G Joonas Korpisalo UTIL Matthew Tkachuk W Filip Forsberg W Carter Verhaeghe W Luke Evangelista,,Leon Draisaitl,C,3.57%,6
69,5049016182,Jstar03 (1/2),0,83,C Connor McDavid C Ryan Nugent-Hopkins D Uvis Balinskis D Logan Stanley G Ukko-Pekka Luukkonen UTIL Ryan Hartman W Zach Hyman W Mats Zuccarello W Vladimir Tarasenko,,Mavrik Bourque,W,3.57%,4.5
70,5048803944,goldengoat29,0,82.8,C Nick Suzuki C Matt Duchene D Jake Walman D Louis Crevier G Connor Hellebuyck UTIL Connor McDavid W Zach Hyman W Cole Caufield W Jordan Martinook,,Jack Quinn,W,3.57%,6.5
71,5049220182,Jstar03 (2/2),0,82.1,C Sebastian Aho C Ryan O'Reilly D Alexander Nikishin D Uvis Balinskis G Ukko-Pekka Luukkonen UTIL Filip Forsberg W Seth Jarvis W Andrei Svechnikov W Luke Evangelista,,Mattias Samuelsson,D,3.57%,9.6
72,5049201216,cutnutz35 (3/5),0,81.899994,C Adam Fantilli C Matt Duchene D Jordan Spence D Wyatt Kaiser G Filip Gustavsson UTIL Kirill Kaprizov W Kirill Marchenko W Matthew Tkachuk W Mason Marchment,,Steven Stamkos,W,3.57%,37.5
73,5048637524,deuceswildixi (1/2),0,81.8,C Jack Eichel C Oliver Kapanen D Ben Chiarot D Alexandre Carrier G Akira Schmid UTIL Mitch Marner W Pavel Dorofeyev W Juraj Slafkovsky W Ivan Demidov,,Hampus Lindholm,D,3.57%,2.6
73,5048637530,deuceswildixi (2/2),0,81.8,C Jack Eichel C Oliver Kapanen D Ben Chiarot D Alexandre Carrier G Akira Schmid UTIL Mitch Marner W Pavel Dorofeyev W Juraj Slafkovsky W Ivan Demidov,,Evgeni Malkin,W,3.57%,15
75,5048788536,isupol (1/5),0,80.7,C Sebastian Aho C Ryan O'Reilly D Alexander Nikishin D Uvis Balinskis G Arturs Silovs UTIL Luke Evangelista W Filip Forsberg W Seth Jarvis W Andrei Svechnikov,,Josh Doan,W,3.57%,0
76,5049359230,rookiebmakincash,0,80,C Tage Thompson C Ryan O'Reilly D Rasmus Dahlin D Hampus Lindholm G Spencer Knight UTIL Pavel Zacha W Filip Forsberg W Josh Doan W Luke Evangelista,,Rasmus Dahlin,D,3.57%,4.1
77,5049198204,jeffank85 (1/3),0,78.899994,C Adam Fantilli C Matt Duchene D Zach Werenski D Louis Crevier G Filip Gustavsson UTIL Tommy Novak W Jason Robertson W Kirill Marchenko W Egor Chinakhov,,Miro Heiskanen,D,3.57%,7.3
78,5049136396,Sinajax,0,78.7,C Jack Eichel C Jordan Staal D Rasmus Dahlin D K'Andre Miller G Filip Gustavsson UTIL Reilly Smith W Mark Stone W Pavel Dorofeyev W Jordan Martinook,,Daniil Tarasov,G,3.57%,14.4
79,5049364933,jistheway4,0,78.2,C Jack Eichel C Mitch Marner D Shea Theodore D Mason Lohrei G Frederik Andersen UTIL Ryan O'Reilly W Mark Stone W Reilly Smith W Casey Mittelstadt,,Ukko-Pekka Luukkonen,G,3.57%,21.4
80,5049099351,papas1175,0,75.70001,C Roope Hintz C Dylan Cozens D Nils Lundkvist D David Jiricek G Akira Schmid UTIL Ryan Hartman W Jason Robertson W Brady Tkachuk W Mats Zuccarello,,Tomas Hertl,C,3.57%,27.6
81,5049054572,cantfademe (3/5),0,75.399994,C Nick Suzuki C Matt Duchene D Jake Walman D K'Andre Miller G Filip Gustavsson UTIL Connor McDavid W Cole Caufield W Nikolaj Ehlers W Kirby Dach,,Matthew Tkachuk,W,3.57%,6.5
82,5049066343,ariedoz,0,75.2,C Nick Suzuki C Matt Duchene D Miro Heiskanen D Lane Hutson G Filip Gustavsson UTIL Vladimir Tarasenko W Wyatt Johnston W Cole Caufield W Kirby Dach,,Dylan Cozens,C,3.57%,14.3
83,5048944916,mike_hnatiuk,0,74.9,C Mark Scheifele C Ryan O'Reilly D Roman Josi D K'Andre Miller G Connor Hellebuyck UTIL Justin Brazeau W Kyle Connor W Filip Forsberg W Josh Anderson,,Jordan Martinook,W,2.98%,5
84,5049105282,d0r1t0s,0,73.5,C Mark Scheifele C Nick Suzuki D Lane Hutson D Artem Zub G Connor Hellebuyck UTIL Justin Brazeau W Kyle Connor W Cole Caufield W Kirby Dach,,Thomas Harley,D,2.98%,4.3
85,5048985702,CosaSpeciale (1/5),0,73.2,C Connor McDavid C Ryan Nugent-Hopkins D Evan Bouchard D Damon Severson G Spencer Knight UTIL Erik Haula W Zach Hyman W Michael Bunting W Jonathan Marchessault,,Arturs Silovs,G,2.98%,20
86,5048968863,tecmo27 (3/5),0,72.6,C Connor McDavid C Ryan Nugent-Hopkins D Evan Bouchard D Jake Walman G Filip Gustavsson UTIL Matt Savoie W Zach Hyman W Kirby Dach W Egor Chinakhov,,Mason Lohrei,D,2.98%,4.1
87,5049117828,nolt0032 (1/5),0,72.1,C Adam Fantilli C Matt Duchene D Zach Werenski D Kaedan Korczak G Connor Hellebuyck UTIL Joel Eriksson Ek W Kirill Marchenko W Mason Marchment W Vladimir Tarasenko,,Mattias Ekholm,D,2.98%,9.5
88,5048954231,oshevach,0,71.399994,C Nick Suzuki C Matt Duchene D Lane Hutson D Alexander Nikishin G Cam Talbot UTIL Juraj Slafkovsky W Seth Jarvis W Cole Caufield W Nikolaj Ehlers,,Boone Jenner,W,2.98%,2.6
89,5048938715,clothsofheaven (1/4),0,71.3,C Adam Fantilli C Noah Ostlund D Zach Werenski D Lane Hutson G Filip Gustavsson UTIL Vladimir Tarasenko W Kirill Marchenko W Mason Marchment W Konsta Helenius,,Viktor Arvidsson,W,2.98%,7.3
90,5049106561,luckyguesses (1/2),0,71,C Nick Suzuki C Andrew Copp D Lane Hutson D Thomas Chabot G Cam Talbot UTIL Patrick Kane W Alex DeBrincat W Cole Caufield W Kirby Dach,,Noah Ostlund,C,2.98%,5
91,5048938717,clothsofheaven (3/4),0,70.1,C Roope Hintz C Logan Stankoven D Evan Bouchard D K'Andre Miller G Cam Talbot UTIL Zach Hyman W Jason Robertson W Jackson Blake W Taylor Hall,,Reilly Smith,W,2.98%,0
92,5049375722,Bears21 (2/3),0,70,C Sebastian Aho C Dylan Cozens D Mattias Samuelsson D Alexander Nikishin G Cam Talbot UTIL Brady Tkachuk W Seth Jarvis W Andrei Svechnikov W Ridly Greig,,Bryan Rust,W,2.98%,9.3
93,5049140561,THE_PHANTOM_1 (5/5),0,69.1,C Connor McDavid C Ryan Nugent-Hopkins D Jake Walman D Mike Matheson G Cam Talbot UTIL Zach Hyman W Cole Caufield W Kirby Dach W Jamie Benn,,Jet Greaves,G,2.98%,29.6
94,5048962013,giantsquid (1/3),0,69,C Sebastian Aho C Matt Duchene D Mike Matheson D Alexander Nikishin G Arturs Silovs UTIL Nikolaj Ehlers W Seth Jarvis W Wyatt Johnston W Andrei Svechnikov,,Tommy Novak,C,2.98%,8
95,5049338022,Jagger72,0,68.6,C Connor McDavid C Jack Eichel D Alexander Nikishin D Esa Lindell G Casey DeSmith UTIL Ryan Hartman W Vladimir Tarasenko W Jack Roslovic W Isaac Howard,,Mark Scheifele,C,2.98%,2.8
96,5048831944,OneDropKing (5/5),0,68,C Jack Eichel C Mitch Marner D Ivan Provorov D Nick Blankenburg G Akira Schmid UTIL Erik Haula W Mark Stone W Pavel Dorofeyev W Reilly Smith,,Darnell Nurse,D,2.98%,3
97,5048889944,B_Heals152 (3/5),0,67.899994,C Nick Suzuki C Roope Hintz D Lane Hutson D Mattias Samuelsson G Casey DeSmith UTIL Matt Duchene W Jason Robertson W Cole Caufield W Kirby Dach,,Sam Bennett,UTIL,2.98%,14.3
98,5049117832,nolt0032 (5/5),0,67.700005,C Tage Thompson C Nick Suzuki D Noah Dobson D Kaedan Korczak G Akira Schmid UTIL Nikolaj Ehlers W Cole Caufield W Josh Doan W Kirby Dach,,Carter Verhaeghe,W,2.98%,0
99,5048938716,clothsofheaven (2/4),0,67.6,C Tage Thompson C Mitch Marner D Rasmus Dahlin D Louis Crevier G Spencer Knight UTIL Danila Yurov W Pavel Dorofeyev W Josh Doan W Vladimir Tarasenko,,Brady Tkachuk,W,2.98%,0
100,5048796027,Firedog50 (3/5),0,67.5,C Connor McDavid C Jordan Staal D Jake Walman D K'Andre Miller G Casey DeSmith UTIL Zach Hyman W Cole Caufield W Nikolaj Ehlers W Jordan Martinook,,Ryan McLeod,C,2.38%,5
101,5048978368,Koronin (4/4),0,66.99999,C Nick Suzuki C Matt Savoie D Lane Hutson D Charlie McAvoy G Tristan Jarry UTIL Connor McDavid W Cole Caufield W Jack Roslovic W Isaac Howard,,Jordan Staal,C,2.38%,10
102,5049082165,vaughn1029,0,66.4,C Mark Scheifele C Nick Suzuki D Josh Morrissey D Jack St. Ivany G Connor Hellebuyck UTIL Kirby Dach W Kyle Connor W Cole Caufield W Alex Iafallo,,Axel Sandin-Pellikka,D,2.38%,4.5
103,5049051498,Cicima6709 (5/5),0,64.799995,C Connor McDavid C Matt Duchene D Evan Bouchard D Mattias Samuelsson G Spencer Knight UTIL Ryan Nugent-Hopkins W Zach Hyman W Viktor Arvidsson W Egor Chinakhov,,Konsta Helenius,W,2.38%,7.8
104,5048967398,Jbarton324,0,64.7,C Tage Thompson C Oliver Kapanen D Rasmus Dahlin D Ryan Shea G Spencer Knight UTIL Juraj Slafkovsky W Alex Tuch W Josh Doan W Ivan Demidov,,Damon Severson,D,2.38%,7.8
104,5049279899,xPipeDreams,0,64.7,C Sidney Crosby C Matt Duchene D Lane Hutson D Ryan Shea G Connor Hellebuyck UTIL Wyatt Johnston W Rickard Rakell W Juraj Slafkovsky W Ivan Demidov,,Frederik Andersen,G,2.38%,4.8
106,5048968861,tecmo27 (1/5),0,64.5,C Sebastian Aho C Nick Suzuki D Alexander Nikishin D Esa Lindell G Connor Hellebuyck UTIL Cole Caufield W Seth Jarvis W Andrei Svechnikov W Kirby Dach,,Sidney Crosby,C,2.38%,11.5
