Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
36,5053545672,cantfademe (10/37),0,157.8,C Auston Matthews C Elias Lindholm D Filip Hronek D Louis Crevier G Anton Forsberg UTIL Max Domi W David Pastrnak W Morgan Geekie W Bobby McMann,,Matt Boldy,W,7.75%,6.5
37,5053525630,HossDaBeast (15/37),0,157.70001,C Dylan Larkin C Matty Beniers D Moritz Seider D Hampus Lindholm G Jeremy Swayman UTIL Jared McCann W Alex DeBrincat W Lucas Raymond W Jordan Eberle,,Dylan Larkin,C,7.67%,10.5
38,5054132503,greyhounds2010,0,156.2,C Macklin Celebrini C Auston Matthews D Thomas Harley D Morgan Rielly G Connor Hellebuyck UTIL Jonathan Lekkerimaki W Will Smith W Collin Graf W Max Domi,,Cole Caufield,W,7.32%,19
39,5053417008,dfssheets,0,155.50002,C Macklin Celebrini C John Tavares D Moritz Seider D John Klingberg G Jeremy Swayman UTIL Filip Hronek W Will Smith W Matthew Knies W Matias Maccelli,,John Tavares,C,7.24%,6.3
40,5053983284,jessman420,0,154.59999,C Auston Matthews C Filip Chytil D Morgan Rielly D Tom Willander G Jakub Dobes UTIL Macklin Celebrini W Will Smith W Conor Garland W Max Domi,,Luke Evangelista,W,7.06%,8
41,5053885460,Cicima6709 (10/37),0,154.4,C Macklin Celebrini C Elias Pettersson D Brock Faber D Noah Dobson G Anton Forsberg UTIL Filip Hronek W Will Smith W Tyler Toffoli W Corey Perry,,Matthew Knies,W,6.98%,11.5
42,5053659849,kjk003 (36/37),0,154.1,C Macklin Celebrini C Matt Duchene D Moritz Seider D John Klingberg G Yaroslav Askarov UTIL Will Smith W Alex DeBrincat W Collin Graf W Jamie Benn,,Sam Bennett,C,6.72%,9.5
43,5053410472,T_revor (12/13),0,153,C Wyatt Johnston C Roope Hintz D Filip Hronek D Ryan Lindgren G Jeremy Swayman UTIL Matty Beniers W Jason Robertson W Jared McCann W Jordan Eberle,,Hampus Lindholm,D,6.63%,11.3
43,5053885470,Cicima6709 (20/37),0,153,C Macklin Celebrini C Elias Pettersson D Filip Hronek D Mattias Samuelsson G Spencer Knight UTIL Alex DeBrincat W Will Smith W Jake DeBrusk W Linus Karlsson,,Matthew Tkachuk,W,6.55%,3
43,5053941125,saulgoodman23 (6/14),0,153,C Macklin Celebrini C Matty Beniers D Vince Dunn D Morgan Rielly G Philipp Grubauer UTIL Collin Graf W Jared McCann W Will Smith W Jordan Eberle,,Matias Maccelli,W,6.46%,9.5
46,5053410462,T_revor (2/13),0,152.50002,C Macklin Celebrini C Auston Matthews D Jake McCabe D Gustav Forsling G Philipp Grubauer UTIL Will Smith W Bobby McMann W Collin Graf W Max Domi,,Jordan Eberle,UTIL,6.37%,19.3
46,5054193527,bkreider (13/37),0,152.5,C Auston Matthews C Erik Haula D Roman Josi D Morgan Rielly G Philipp Grubauer UTIL Max Domi W Jared McCann W Steven Stamkos W Bobby McMann,,Nick Suzuki,C,6.29%,1.5
48,5053404673,CosaSpeciale (7/14),0,152.3,C Macklin Celebrini C Brayden Schenn D Noah Dobson D Brandt Clarke G Jakub Dobes UTIL Will Smith W Adrian Kempe W Kevin Fiala W Andrei Kuzmenko,,Yaroslav Askarov,G,6.12%,15.1
49,5053586677,Firedog50 (28/37),0,152.1,C Auston Matthews C Elias Lindholm D Charlie McAvoy D Mattias Samuelsson G Anton Forsberg UTIL Jonathan Lekkerimaki W David Pastrnak W Morgan Geekie W Max Domi,,Ryan Hartman,C,6.12%,11.4
50,5054411619,tecmo27 (1/11),0,152.00002,C Macklin Celebrini C Elias Pettersson D Filip Hronek D Gustav Forsling G Jeremy Swayman UTIL Alexander Wennberg W Will Smith W Tyler Toffoli W Jake DeBrusk,,Alex DeBrincat,W,5.68%,22
51,5054214954,THE_PHANTOM_1 (25/37),0,151.80002,C Elias Lindholm C Matty Beniers D Charlie McAvoy D Justin Faulk G Jeremy Swayman UTIL Jordan Eberle W David Pastrnak W Jared McCann W Morgan Geekie,,Jesper Wallstedt,G,5.68%,15.8
52,5054218723,jeffank85 (1/3),0,151.2,C Macklin Celebrini C Joel Eriksson Ek D Roman Josi D John Klingberg G Philipp Grubauer UTIL Will Smith W Tyler Toffoli W Marcus Johansson W Jonatan Berggren,,Steven Stamkos,W,5.43%,9.5
52,5054227150,sullybrochill (1/3),0,151.2,C Joel Eriksson Ek C Matty Beniers D Morgan Rielly D John Klingberg G Philipp Grubauer UTIL Macklin Celebrini W Will Smith W Tyler Toffoli W Pavol Regenda,,Viktor Arvidsson,W,5.17%,7.1
54,5053966020,jdmercer (2/2),0,151,C Macklin Celebrini C Elias Pettersson D Filip Hronek D Mattias Samuelsson G John Gibson UTIL Tyler Toffoli W Will Smith W Jake DeBrusk W Collin Graf,,Jesper Bratt,W,5.17%,16.5
55,5054448662,virtusos,0,150.8,C Macklin Celebrini C Elias Pettersson D Roman Josi D John Klingberg G Connor Hellebuyck UTIL Filip Hronek W Will Smith W Steven Stamkos W Jonathan Lekkerimaki,,Alexander Wennberg,UTIL,5.08%,8
56,5053514632,Firedog50 (4/37),0,150.50002,C Macklin Celebrini C Elias Pettersson D Charlie McAvoy D Filip Hronek G Philipp Grubauer UTIL Will Smith W Tyler Toffoli W Jake DeBrusk W Linus Karlsson,,Jakob Chychrun,D,4.65%,10.6
57,5053413144,nolt0032 (27/37),0,150.3,C Nick Suzuki C Matty Beniers D Mikhail Sergachev D Noah Dobson G Vitek Vanecek UTIL Jordan Eberle W Cole Caufield W Jared McCann W Alexandre Texier,,Teuvo Teravainen,W,4.57%,11.5
58,5053885465,Cicima6709 (15/37),0,150,C Macklin Celebrini C Elias Pettersson D Filip Hronek D Mattias Samuelsson G Spencer Knight UTIL Auston Matthews W Will Smith W Linus Karlsson W Jonathan Lekkerimaki,,Marcus Johansson,W,4.57%,8
59,5054237023,Louiegatbs,0,149.90001,C Tage Thompson C Ryan O'Reilly D Rasmus Dahlin D Tom Willander G Philipp Grubauer UTIL Noah Ostlund W Filip Forsberg W Josh Doan W Oliver Moore,,Kyle Connor,W,4.48%,13
59,5054363009,HossDaBeast (24/37),0,149.90001,C Macklin Celebrini C Matty Beniers D Vince Dunn D Esa Lindell G Jake Oettinger UTIL Jared McCann W Will Smith W Jordan Eberle W Collin Graf,,Vince Dunn,D,4.48%,2.8
61,5053521575,Jack_Of_All_Trades (1/3),0,149.7,C Macklin Celebrini C Tage Thompson D Mattias Samuelsson D Hampus Lindholm G Philipp Grubauer UTIL Linus Karlsson W Will Smith W Tyler Toffoli W Collin Graf,,Dougie Hamilton,D,4.48%,8
62,5053545683,cantfademe (21/37),0,149.6,C Auston Matthews C Elias Pettersson D Moritz Seider D Dougie Hamilton G Jeremy Swayman UTIL Linus Karlsson W Jake DeBrusk W Bobby McMann W Max Domi,,Juuse Saros,G,4.31%,9
63,5053410464,T_revor (4/13),0,148.90001,C Dylan Larkin C Matty Beniers D Moritz Seider D Filip Hronek G Spencer Knight UTIL Jared McCann W Alex DeBrincat W Lucas Raymond W Jordan Eberle,,Marco Kasper,W,4.31%,5.6
64,5053413146,nolt0032 (29/37),0,148.7,C Auston Matthews C Matty Beniers D Jakob Chychrun D Morgan Rielly G Connor Hellebuyck UTIL Jared McCann W Jordan Eberle W Matthew Knies W Matias Maccelli,,Mattias Samuelsson,D,4.22%,20.6
65,5053517781,Firedog50 (10/37),0,148.5,C Macklin Celebrini C Elias Pettersson D Charlie McAvoy D John Klingberg G Anton Forsberg UTIL Will Smith W Mats Zuccarello W Tyler Toffoli W Linus Karlsson,,Sam Reinhart,W,4.13%,4.3
66,5054416447,tecmo27 (4/11),0,148.40001,C Auston Matthews C Elias Pettersson D John Klingberg D Filip Hronek G Connor Hellebuyck UTIL Macklin Celebrini W Jake DeBrusk W Linus Karlsson W Jonathan Lekkerimaki,,Jason Robertson,W,4.05%,13
67,5053885476,Cicima6709 (26/37),0,148.3,C Auston Matthews C Elias Pettersson D Brandt Clarke D Filip Hronek G Philipp Grubauer UTIL Mattias Samuelsson W David Pastrnak W Corey Perry W Linus Karlsson,,Brad Marchand,W,3.79%,8
67,5054513499,KeepCalmAndTiltOn (20/20),0,148.3,C Jack Hughes C Anton Lundell D Dougie Hamilton D Vince Dunn G Jeremy Swayman UTIL Matty Beniers W Jared McCann W Jesper Bratt W Jordan Eberle,,Wyatt Johnston,C,3.70%,10.6
69,5053659823,kjk003 (10/37),0,148.20001,C Connor Bedard C Frank Nazar D Sean Durzi D John Klingberg G Yaroslav Askarov UTIL Macklin Celebrini W Will Smith W Collin Graf W Teuvo Teravainen,,Nico Hischier,C,3.62%,14.5
70,5053525624,HossDaBeast (9/37),0,148.1,C Tomas Hertl C Matty Beniers D Vince Dunn D Hampus Lindholm G Jeremy Swayman UTIL Jared McCann W Pavel Dorofeyev W Mitch Marner W Jordan Eberle,,Jack Eichel,C,3.62%,4.5
71,5053409615,saulgoodman23 (4/14),0,147.8,C Macklin Celebrini C Auston Matthews D Morgan Rielly D Alexandre Carrier G Spencer Knight UTIL Collin Graf W Will Smith W Bobby McMann W Max Domi,,Tomas Hertl,C,3.62%,2.8
72,5054497609,miguelon11 (3/3),0,147.5,C Auston Matthews C John Tavares D Vince Dunn D John Klingberg G Spencer Knight UTIL Matty Beniers W Jared McCann W Jordan Eberle W Matthew Knies,,Lane Hutson,D,3.62%,5.6
73,5054187498,Nsibell21 (3/4),0,146.8,C Macklin Celebrini C Elias Pettersson D Filip Hronek D Mattias Samuelsson G Jake Oettinger UTIL Collin Graf W Will Smith W Steven Stamkos W Jake DeBrusk,,Roope Hintz,C,3.53%,13
73,5054193532,bkreider (18/37),0,146.8,C Macklin Celebrini C Alex Laferriere D John Klingberg D Filip Hronek G Anton Forsberg UTIL Tyler Toffoli W Adrian Kempe W Will Smith W Collin Graf,,Ukko-Pekka Luukkonen,G,3.53%,-4.9
75,5053899251,Fantassin (20/37),0,146.5,C Macklin Celebrini C Frank Nazar D Jakob Chychrun D John Klingberg G Yaroslav Askarov UTIL Alexander Wennberg W Will Smith W Tyler Toffoli W Teuvo Teravainen,,Mikko Rantanen,W,3.45%,7.8
76,5054386377,mrgoodseats (6/15),0,146.40001,C Dylan Larkin C Matty Beniers D Moritz Seider D Gustav Forsling G Philipp Grubauer UTIL Jared McCann W Alex DeBrincat W Lucas Raymond W Jordan Eberle,,Jake Oettinger,G,3.36%,11.6
77,5054087139,oshevach (2/3),0,146.3,C Macklin Celebrini C Ryan McLeod D Roman Josi D John Klingberg G Connor Hellebuyck UTIL Alexander Wennberg W Will Smith W Tyler Toffoli W Jack Quinn,,Pavel Dorofeyev,W,3.36%,32
78,5053564473,Varncass,0,146.00002,C Macklin Celebrini C Matty Beniers D Roman Josi D John Klingberg G Philipp Grubauer UTIL Linus Karlsson W Will Smith W Tyler Toffoli W Collin Graf,,Brandt Clarke,D,3.27%,12.3
78,5053922125,jeremyshow (2/11),0,146,C Auston Matthews C Elias Pettersson D Quinn Hughes D Filip Hronek G Jeremy Swayman UTIL Max Domi W Jake DeBrusk W Bobby McMann W Linus Karlsson,,Ivan Demidov,W,3.27%,1.5
80,5053545686,cantfademe (24/37),0,145.3,C Auston Matthews C Elias Pettersson D Jakob Chychrun D Dougie Hamilton G Anton Forsberg UTIL Linus Karlsson W Jake DeBrusk W Bobby McMann W Max Domi,,Brock Faber,D,3.27%,1.3
81,5054193542,bkreider (28/37),0,145,C Macklin Celebrini C Auston Matthews D Moritz Seider D Morgan Rielly G Yaroslav Askarov UTIL Max Domi W Bobby McMann W Nicholas Robertson W Easton Cowan,,Pavel Buchnevich,C,3.10%,9.7
82,5054160477,dm4k8,0,144.8,C Macklin Celebrini C Joel Eriksson Ek D Filip Hronek D Jake Middleton G Anton Forsberg UTIL William Eklund W Matt Boldy W Will Smith W Jonathan Lekkerimaki,,Casey Mittelstadt,W,3.10%,0
83,5054386381,mrgoodseats (10/15),0,144.20001,C Macklin Celebrini C Nico Hischier D Dougie Hamilton D Hampus Lindholm G Yaroslav Askarov UTIL Will Smith W Tyler Toffoli W Jesper Bratt W Connor Brown,,Ryan McLeod,C,3.01%,5
84,5054193550,bkreider (36/37),0,144.09999,C Macklin Celebrini C Andrew Copp D Moritz Seider D John Klingberg G Vitek Vanecek UTIL Michael Carcone W Alex DeBrincat W Will Smith W Collin Graf,,Gustav Forsling,D,3.01%,2.8
85,5054241769,q80minouma (2/4),0,143.8,C Macklin Celebrini C Auston Matthews D John Klingberg D Uvis Balinskis G Anton Forsberg UTIL Will Smith W Mats Zuccarello W Corey Perry W Jonatan Berggren,,Tage Thompson,C,3.01%,23.4
86,5054076728,cutnutz35 (2/11),0,143.70001,C Macklin Celebrini C Nico Hischier D Owen Power D Jonathan Aspirot G Jake Oettinger UTIL Jesper Bratt W Will Smith W Morgan Geekie W Tyler Toffoli,,Max Domi,W,2.93%,26
86,5054160881,jeremyshow (7/11),0,143.70001,C Ryan O'Reilly C Matty Beniers D Roman Josi D Mattias Samuelsson G Connor Hellebuyck UTIL Jordan Eberle W Filip Forsberg W Jared McCann W Luke Evangelista,,Alexandre Carrier,D,2.93%,9.7
88,5054505965,Bears21 (9/13),0,143.20001,C Macklin Celebrini C Elias Pettersson D Morgan Rielly D Mattias Samuelsson G Joseph Woll UTIL Jared McCann W Will Smith W Jake DeBrusk W Linus Karlsson,,Tom Wilson,UTIL,2.93%,0
89,5053898995,driverseati (5/10),0,143.09999,C Macklin Celebrini C John Tavares D Morgan Rielly D John Klingberg G Anton Forsberg UTIL Will Smith W Tyler Toffoli W Viktor Arvidsson W Matthew Knies,,Timo Meier,W,2.84%,4.5
90,5053893909,Cicima6709 (37/37),0,142.9,C Macklin Celebrini C Elias Pettersson D Filip Hronek D Hampus Lindholm G Connor Hellebuyck UTIL Kyle Connor W Will Smith W Jake DeBrusk W Linus Karlsson,,Mark Stone,W,2.84%,6
91,5054246073,belizzone (7/10),0,142.70001,C Elias Lindholm C Matty Beniers D Charlie McAvoy D Morgan Rielly G Philipp Grubauer UTIL Jared McCann W David Pastrnak W Morgan Geekie W Jordan Eberle,,Logan Thompson,G,2.76%,1.4
91,5053545675,cantfademe (13/37),0,142.7,C Macklin Celebrini C Elias Pettersson D Moritz Seider D Filip Hronek G Jeremy Swayman UTIL Linus Karlsson W Will Smith W Jake DeBrusk W Collin Graf,,Connor Bedard,C,2.76%,20
91,5053898997,driverseati (7/10),0,142.7,C Auston Matthews C Matt Duchene D Oliver Ekman-Larsson D Andrew Peeke G Connor Hellebuyck UTIL Macklin Celebrini W Will Smith W Morgan Geekie W Pavol Regenda,,Jordan Kyrou,UTIL,2.76%,4.5
94,5053885479,Cicima6709 (29/37),0,142.6,C Macklin Celebrini C Elias Pettersson D Brock Faber D Mattias Samuelsson G Jesper Wallstedt UTIL Filip Hronek W Will Smith W Jake DeBrusk W Linus Karlsson,,Pavol Regenda,W,2.76%,1.5
94,5054422516,source4sports,0,142.6,C Auston Matthews C Elias Lindholm D Colton Parayko D Brandon Carlo G Philipp Grubauer UTIL David Pastrnak W Morgan Geekie W Bobby McMann W Max Domi,,Andrew Peeke,D,2.76%,2.6
96,5054414376,offside14,0,142.5,C Macklin Celebrini C Ryan O'Reilly D John Klingberg D Mattias Samuelsson G Jesper Wallstedt UTIL Reilly Smith W Will Smith W Steven Stamkos W Luke Evangelista,,Frank Nazar,C,2.76%,6
97,5053949277,nevs2904 (4/10),0,142.4,C Dylan Larkin C Matty Beniers D Moritz Seider D Alexandre Carrier G Jesper Wallstedt UTIL Ryan Hartman W Alex DeBrincat W Jared McCann W James van Riemsdyk,,Corey Perry,UTIL,2.76%,11.5
98,5054270817,skyhoke (27/28),0,142.3,C Macklin Celebrini C Chandler Stephenson D Vince Dunn D John Klingberg G Yaroslav Askarov UTIL Jared McCann W Brad Marchand W Jordan Eberle W Collin Graf,,Evan Rodrigues,C,2.67%,4.5
99,5053949599,DALLASTILL (2/4),0,142.20001,C Macklin Celebrini C Elias Pettersson D John Klingberg D Filip Hronek G John Gibson UTIL Will Smith W Morgan Geekie W Jake DeBrusk W Linus Karlsson,,Noah Ostlund,C,2.67%,1.5
100,5053900017,jdmercer (1/2),0,142,C Macklin Celebrini C Elias Lindholm D Filip Hronek D Jake Middleton G Connor Hellebuyck UTIL Jonathan Lekkerimaki W David Pastrnak W Will Smith W Morgan Geekie,,Jason Zucker,W,2.67%,4.5
