Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
53,5055080666,sing24,0,103.9,C Adam Fantilli C Charlie Coyle D Cale Makar D Cam York G MacKenzie Blackwood UTIL Dmitri Voronkov W Travis Konecny W Artturi Lehkonen W Trevor Zegras,,Spencer Martin,G,6.57%,4.2
54,5055067492,E-Steelers,0,103.600006,C Mika Zibanejad C Christian Dvorak D Cale Makar D Braden Schneider G Spencer Martin UTIL Trevor Zegras W J.T. Miller W Travis Konecny W Bobby Brink,,Braden Schneider,D,6.23%,5.8
55,5054555797,Belliston,0,103.5,C Brock Nelson C Sean Couturier D Cam York D Ivan Provorov G MacKenzie Blackwood UTIL Anders Lee W Brady Tkachuk W Travis Konecny W Drake Batherson,,Bobby Brink,W,6.23%,1.3
55,5055109450,HPYHRS,0,103.5,C Bo Horvat C Christian Dvorak D Cale Makar D Matthew Schaefer G David Rittich UTIL Claude Giroux W Artturi Lehkonen W Emil Heineman W Ondrej Palat,,Ivan Provorov,D,5.89%,7.3
57,5055085256,Stevism7,0,103.299995,C Tim Stuetzle C Dylan Cozens D Jake Sanderson D Travis Sanheim G James Reimer UTIL Anders Lee W Brady Tkachuk W Trevor Zegras W Claude Giroux,,Will Cuylle,W,5.56%,1.5
58,5054963821,ShooterMcGavin89,0,103.1,C Dylan Cozens C Charlie Coyle D Zach Werenski D Cam York G James Reimer UTIL Adam Fantilli W Brady Tkachuk W Claude Giroux W Ridly Greig,,Jean-Gabriel Pageau,C,5.39%,19.3
59,5054871659,HighsideRcn,0,102.90001,C Mika Zibanejad C Jean-Gabriel Pageau D Zach Werenski D Samuel Girard G Elvis Merzlikins UTIL Kirill Marchenko W J.T. Miller W Mason Marchment W Simon Holmstrom,,Claude Giroux,W,5.22%,14.5
60,5054740458,hoosierpack,0,102.600006,C Mika Zibanejad C Mathew Barzal D Zach Werenski D Artem Zub G Elvis Merzlikins UTIL Sean Monahan W Brady Tkachuk W Dmitri Voronkov W Fabian Zetterlund,,Sean Couturier,C,5.05%,4.3
61,5054727661,bohicabuddy,0,102.5,C Christian Dvorak C Noah Cates D Zach Werenski D Cale Makar G Dan Vladar UTIL Matthew Robertson W Travis Konecny W Trevor Zegras W Owen Tippett,,Ondrej Palat,W,5.05%,17.8
61,5055045224,realtoray,0,102.5,C Nathan MacKinnon C Bo Horvat D Cale Makar D Cam York G David Rittich UTIL Parker Kelly W Anthony Duclair W Simon Holmstrom W Ondrej Palat,,Denver Barkey,W,5.05%,1.5
63,5054675701,expostulate,0,102.3,C Mathew Barzal C Adam Fantilli D Zach Werenski D Erik Gudbranson G Elvis Merzlikins UTIL Kirill Marchenko W Mason Marchment W Anthony Duclair W Ridly Greig,,Kent Johnson,W,4.88%,8
63,5055079013,cw_hoover,0,102.3,C Mathew Barzal C Adam Fantilli D Zach Werenski D Erik Gudbranson G Elvis Merzlikins UTIL Ridly Greig W Kirill Marchenko W Mason Marchment W Anthony Duclair,,Noah Cates,C,4.55%,1.3
65,5054725781,magicpower,0,102.200005,C Mathew Barzal C Charlie Coyle D Zach Werenski D Matthew Schaefer G David Rittich UTIL Boone Jenner W Mason Marchment W Victor Olofsson W Claude Giroux,,Dmitri Voronkov,W,4.55%,0
66,5055073688,pultb,0,102.100006,C Nathan MacKinnon C Christian Dvorak D Matthew Schaefer D Travis Sanheim G David Rittich UTIL Jean-Gabriel Pageau W Trevor Zegras W Owen Tippett W Emil Heineman,,Rasmus Ristolainen,D,4.38%,0
66,5054703523,rmfeel,0,102.09999,C Nathan MacKinnon C Christian Dvorak D Cale Makar D Samuel Girard G Dan Vladar UTIL Ondrej Palat W Travis Konecny W Trevor Zegras W Victor Olofsson,,Erik Gudbranson,D,4.04%,11.5
68,5055021742,Strctlybusines1,0,101.700005,C Bo Horvat C Christian Dvorak D Brent Burns D Samuel Girard G MacKenzie Blackwood UTIL Mathew Barzal W Travis Konecny W Trevor Zegras W Owen Tippett,,Vladislav Gavrikov,D,3.70%,9.3
69,5054730522,hitman41,0,101.600006,C Tim Stuetzle C Mathew Barzal D Zach Werenski D Adam Pelech G David Rittich UTIL Mason Marchment W Drake Batherson W Anthony Duclair W Claude Giroux,,Ilya Sorokin,G,3.70%,0
70,5054824353,EazyE84x,0,101.4,C Brock Nelson C Christian Dvorak D Thomas Chabot D Brent Burns G David Rittich UTIL Trevor Zegras W Travis Konecny W Artturi Lehkonen W Valeri Nichushkin,,Parker Kelly,C,3.20%,12.8
