Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
63,5055886962,torionthegreat,0,113.3,C Wyatt Johnston C Sam Bennett D Alexander Nikishin D Drew Doughty G Connor Ingram UTIL Matty Beniers W Alex DeBrincat W Andrei Svechnikov W Tyler Bertuzzi,,Cam York,D,3.87%,2.6
63,5055781385,jwclark311,0,113.299995,C Jack Hughes C Elias Pettersson D Evan Bouchard D Dougie Hamilton G Jeremy Swayman UTIL Teuvo Teravainen W Jesper Bratt W Jack Quinn W Evgenii Dadonov,,Rickard Rakell,W,3.87%,11.8
66,5055906601,CheezyCHS,0,113.100006,C Leon Draisaitl C Anthony Cirelli D Mattias Samuelsson D Ben Chiarot G Ilya Sorokin UTIL Viktor Arvidsson W Zach Hyman W Jason Zucker W Jimmy Snuggerud,,Mason Lohrei,D,3.70%,4.1
67,5055830634,esksdonk,0,112.8,C Connor McDavid C Leon Draisaitl D John Klingberg D Ryan McDonagh G John Gibson UTIL Kasperi Kapanen W Morgan Geekie W Anthony Mantha W Justin Brazeau,,Dougie Hamilton,D,3.70%,19
68,5055893238,quietowl,0,112.600006,C Connor McDavid C Sean Couturier D Cam York D Simon Nemec G Ilya Sorokin UTIL Zach Hyman W Alex DeBrincat W Matvei Michkov W Justin Brazeau,,Alex Lyon,G,3.70%,31.4
68,5055765547,Sacrsan,0,112.6,C Connor McDavid C Jordan Staal D Shayne Gostisbehere D John Klingberg G Connor Hellebuyck UTIL Dougie Hamilton W Ryan Nugent-Hopkins W Will Smith W Connor Brown,,Ondrej Palat,W,3.70%,3
68,5055771246,vegasjc21,0,112.59999,C Sam Bennett C Ryan Hartman D Filip Hronek D Justin Faulk G Filip Gustavsson UTIL Patrick Kane W Beckett Sennecke W Jake DeBrusk W Steven Stamkos,,Brock Nelson,C,3.70%,10
71,5055781205,scbendott,0,112.4,C Leon Draisaitl C Mikael Granlund D Aaron Ekblad D Gustav Forsling G Alex Lyon UTIL Viktor Arvidsson W Jake DeBrusk W Trevor Zegras W Steven Stamkos,,Simon Nemec,D,3.70%,6.9
72,5055885553,danny_s90,0,112.2,C Elias Pettersson C Alex Laferriere D Rasmus Andersson D Brandt Clarke G Darcy Kuemper UTIL Noah Dobson W Adrian Kempe W Jared McCann W Evgeni Malkin,,Matthew Tkachuk,W,3.54%,35.5
72,5055892771,pkruse,0,112.2,C Ryan Hartman C Tommy Novak D Quinn Hughes D Tom Willander G Ilya Sorokin UTIL Dougie Hamilton W Kirill Kaprizov W Patrick Kane W Egor Chinakhov,,Daniil Tarasov,G,3.54%,0.7
74,5055727904,gandalf18,0,111.6,C Nathan MacKinnon C Brayden Schenn D Noah Dobson D Kris Letang G Nikita Tolopilo UTIL Connor McDavid W Jimmy Snuggerud W Justin Brazeau W Jonatan Berggren,,Tage Thompson,C,3.54%,10.5
75,5055771372,drunkdwarf,0,111.50001,C Mikael Granlund C Matty Beniers D Jackson LaCombe D Brandt Clarke G Ilya Sorokin UTIL Steven Stamkos W Carter Verhaeghe W Alex Tuch W Beckett Sennecke,,Brock Faber,D,3.37%,8
