Player,Inj,Likes,Pos,Salary,Team,Opp,Time,Fav.,Win %,Spread,Total,TeamGoal,OppGoal,Start/Line,PP Unit,avg TOI,Avg,STDV,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value,Own%,TOI,Score,Val
Stuart Skinner,,0,G,7600,PIT,@ NYI,7:30 pm,Y,44.8%,-81.0,5.5,2.75,2.7,confirm,,57:16,9.7,9.93,28.74,8.88,8.88,100,,49,1.2,0,60:52,-2.9,
James Reimer,,0,G,7000,OTT,@ CAR,7:00 pm,N,50.0%,+100.0,6.5,3.25,3.69,confirm,,54:47,6.3,6.75,23.14,9.64,9.64,100,,46,1.4,0,58:38,-4.2,
Jacob Markstrom,,0,G,8000,NJ,vs CBJ,7:00 pm,Y,44.9%,-81.5,6,3.02,3,confirm,,56:52,8.8,10.12,28.84,8.6,8.6,100,,43,1.1,0,58:42,9.1,1.1
Elvis Merzlikins,,0,G,7400,CBJ,@ NJ,7:00 pm,N,55.1%,+81.5,6,3,3.02,confirm,,56:23,9.5,9.36,27.66,8.94,8.94,100,,51,1.2,0,59:55,26.8,3.6
Frederik Andersen,,0,G,8400,CAR,vs OTT,7:00 pm,Y,50.0%,-100.0,6.5,3.69,3.25,unlikely,,60:13,6.6,7.92,0,0,0,100,,40,0,0,00:00,0,
Jonas Johansson,,0,G,8300,TB,vs BUF,7:30 pm,Y,55.7%,-125.5,6.5,3.87,3.25,unlikely,,57:25,9.6,8.76,0,0,0,100,,54,0,0,00:00,2,0.2
Pyotr Kochetkov,,0,G,8200,CAR,vs OTT,7:00 pm,Y,50.0%,-100.0,6.5,3.69,3.25,unlikely,,55:28,10,9.5,0,0,0,100,,53,0,0,,,
Tristan Jarry,,0,G,8200,EDM,vs TOR,8:30 pm,Y,51.7%,-107.0,7,4.04,3.5,unlikely,,54:22,11.1,11.22,0,0,0,100,,49,0,0,00:00,0,
Ville Husso,,0,G,8100,ANA,vs SEA,10:00 pm,Y,47.8%,-91.5,6,3.23,3,unlikely,,55:10,8.8,9.11,0,0,0,100,,48,0,0,00:00,0,
Jake Allen,,0,G,8000,NJ,vs CBJ,7:00 pm,Y,44.9%,-81.5,6,3.02,3,unlikely,,59:06,11.5,10.82,0,0,0,100,,53,0,0,00:00,0,
Samuel Ersson,,0,G,7900,PHI,vs WSH,7:00 pm,Y,49.7%,-99.0,6,3.25,3,unlikely,,57:39,4.5,8.97,0,0,0,100,,0,0,0,,,
Petr Mrazek,,0,G,7900,ANA,vs SEA,10:00 pm,Y,47.8%,-91.5,6,3.23,3,unlikely,,51:35,4.9,9.67,0,0,0,100,,1,0,0,,,
David Rittich,,0,G,7800,NYI,vs PIT,7:30 pm,N,55.2%,+81.0,5.5,2.7,2.75,unlikely,,59:28,10.1,9.83,0,0,0,100,,51,0,0,00:00,2,0.3
Arturs Silovs,,0,G,7600,PIT,@ NYI,7:30 pm,Y,44.8%,-81.0,5.5,2.75,2.7,unlikely,,58:18,10.3,8.96,0,0,0,100,,57,0,0,00:00,2,0.3
Semyon Varlamov,,0,G,7600,NYI,vs PIT,7:30 pm,N,55.2%,+81.0,5.5,2.7,2.75,unlikely,,,,,0,0,0,100,,0,0,0,,,
Garin Bjorklund,,0,G,7500,WSH,@ PHI,7:00 pm,N,50.3%,+99.0,6,3,3.25,unlikely,,,,,0,0,0,100,,0,0,0,00:00,0,
Jet Greaves,,0,G,7400,CBJ,@ NJ,7:00 pm,N,55.1%,+81.5,6,3,3.02,unlikely,,59:23,12.6,8.11,0,0,0,100,,68,0,0,00:00,0,
Charlie Lindgren,,0,G,7300,WSH,@ PHI,7:00 pm,N,50.3%,+99.0,6,3,3.25,unlikely,,59:17,9.8,9.83,0,0,0,100,,50,0,0,,,
Logan Thompson,,0,G,7300,WSH,@ PHI,7:00 pm,N,50.3%,+99.0,6,3,3.25,unlikely,,59:06,12.8,10.5,0,0,0,100,,59,0,0,,,
Joey Daccord,,0,G,7300,SEA,@ ANA,10:00 pm,N,52.2%,+91.5,6,3,3.23,unlikely,,58:17,12.2,11.67,0,0,0,100,,52,0,0,00:00,0,
Joseph Woll,,0,G,7200,TOR,@ EDM,8:30 pm,N,48.3%,+107.0,7,3.5,4.04,unlikely,,56:47,13.5,10.51,0,0,0,100,,61,0,0,00:00,0,
Alex Lyon,,0,G,7100,BUF,@ TB,7:30 pm,N,44.3%,+125.5,6.5,3.25,3.87,unlikely,,54:58,13.5,9.45,0,0,0,100,,65,0,0,00:00,2,0.3
Matt Murray,,0,G,7100,SEA,@ ANA,10:00 pm,N,52.2%,+91.5,6,3,3.23,unlikely,,43:22,8,8.16,0,0,0,100,,49,0,0,,,
Linus Ullmark,,0,G,7000,OTT,@ CAR,7:00 pm,N,50.0%,+100.0,6.5,3.25,3.69,unlikely,,59:14,8.7,8.18,0,0,0,100,,53,0,0,00:00,0,
Ukko-Pekka Luukkonen,,0,G,6900,BUF,@ TB,7:30 pm,N,44.3%,+125.5,6.5,3.25,3.87,unlikely,,54:51,10.3,8.68,0,0,0,100,,58,0,0,,,
Nico Daws,,0,G,6500,NJ,vs CBJ,7:00 pm,Y,44.9%,-81.5,6,3.02,3,unlikely,,60:00,22.8,0,0,0,0,100,,0,0,0,,,
Alexei Kolosov,,0,G,6500,PHI,vs WSH,7:00 pm,Y,49.7%,-99.0,6,3.25,3,unlikely,,30:00,0.8,7.56,0,0,0,100,,0,0,0,00:00,0,
Leevi Merilainen,,0,G,6500,OTT,@ CAR,7:00 pm,N,50.0%,+100.0,6.5,3.25,3.69,unlikely,,53:52,4.1,8.71,0,0,0,100,,0,0,0,,,
Mads Sogaard,,0,G,6500,OTT,@ CAR,7:00 pm,N,50.0%,+100.0,6.5,3.25,3.69,unlikely,,33:13,2.2,10.51,0,0,0,100,,0,0,0,,,
Sergei Murashov,,0,G,6500,PIT,@ NYI,7:30 pm,Y,44.8%,-81.0,5.5,2.75,2.7,unlikely,,51:51,9.3,7.29,0,0,0,100,,61,0,0,,,
Marcus Hogberg,,0,G,6500,NYI,vs PIT,7:30 pm,N,55.2%,+81.0,5.5,2.7,2.75,unlikely,,13:29,-3.5,0,0,0,0,100,,0,0,0,,,
Calvin Pickard,,0,G,6500,EDM,vs TOR,8:30 pm,Y,51.7%,-107.0,7,4.04,3.5,unlikely,,54:35,6,9.37,0,0,0,100,,22,0,0,,,
Dennis Hildeby,,0,G,6500,TOR,@ EDM,8:30 pm,N,48.3%,+107.0,7,3.5,4.04,unlikely,,49:00,11.3,8.01,0,0,0,100,,65,0,0,,,
Vyacheslav Buteyets,,0,G,6500,ANA,vs SEA,10:00 pm,Y,47.8%,-91.5,6,3.23,3,unlikely,,20:00,-3.5,0,0,0,0,100,,0,0,0,,,
