Player,Inj,Likes,Pos,Salary,Team,Opp,Time,Fav.,Win %,Spread,Total,TeamGoal,OppGoal,Start/Line,PP Unit,avg TOI,Avg,STDV,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value,Own%,TOI,Score,Val
Arturs Silovs,,0,G,7800,PIT,vs OTT,7:00 pm,N,58.3%,+71.5,6.5,3.15,3.25,confirm,,58:20,10.4,9.13,27.99,9.73,9.73,100,,56,1.2,0,57:33,9.1,1.2
Dustin Wolf,,0,G,7600,CGY,vs TOR,10:00 pm,N,55.6%,+80.0,6,2.98,3,confirm,,56:11,10,9.82,30.31,10.67,10.67,100,,51,1.4,0,58:41,2.1,0.3
Joel Hofer,,0,G,7400,STL,@ NSH,8:00 pm,N,53.2%,+88.0,6,3,3.27,confirm,,54:28,10.5,11.6,33.9,10.7,10.7,100,,45,1.4,0,58:59,-5.6,
David Rittich,,0,G,7500,NYI,@ WSH,7:00 pm,N,53.2%,+88.0,6.5,3.25,3.42,confirm,,59:34,10.4,9.94,29.11,9.23,9.23,100,,52,1.2,0,57:08,3.5,0.5
Jakub Dobes,,0,G,7300,MTL,@ MIN,7:30 pm,N,55.1%,+81.5,6.5,3.25,3.43,confirm,,57:29,10.9,10.44,30.86,9.98,9.98,100,,52,1.4,0,62:52,2,0.3
Connor Hellebuyck,,0,G,7200,WPG,@ DAL,8:30 pm,N,53.5%,+87.0,5.5,2.75,3,confirm,,59:57,10.6,6.82,24.46,10.82,10.82,100,,68,1.5,0,61:09,4.8,0.7
Kevin Lankinen,,0,G,7000,VAN,@ UTA,9:30 pm,N,39.1%,+156.0,6.5,3.25,4.14,confirm,,54:09,8,9.76,28.35,8.83,8.83,100,,39,1.3,0,60:00,-11.9,
Clay Stevenson,,0,G,7900,WSH,vs NYI,7:00 pm,Y,46.8%,-88.0,6.5,3.42,3.25,confirm,,61:42,8.8,0,8.65,8.65,8.65,100,,0,1.1,0,60:00,22.8,2.9
Linus Ullmark,,0,G,7600,OTT,@ PIT,7:00 pm,Y,41.7%,-71.5,6.5,3.25,3.15,confirm,,59:13,8.6,8.32,24.95,8.31,8.31,100,,52,1.1,0,60:00,8.8,1.2
Sergei Bobrovsky,,0,G,8000,FLA,vs BUF,7:00 pm,Y,45.2%,-82.5,6.5,3.33,3.25,confirm,,58:26,8,9.84,26.83,7.15,7.15,100,,39,0.9,0,58:08,-7,
Scott Wedgewood,,0,G,8300,COL,vs DET,9:00 pm,Y,52.9%,-112.5,6.5,3.81,3.25,unlikely,,56:49,12.6,9.8,0,0,0,100,,61,0,0,00:00,0,
Casey Desmith,,0,G,8200,DAL,vs WPG,8:30 pm,Y,46.5%,-87.0,5.5,3,2.75,unlikely,,59:02,12.4,7.59,0,0,0,100,,69,0,0,00:00,2,0.2
Jesper Wallstedt,,0,G,8100,MIN,vs MTL,7:30 pm,Y,44.9%,-81.5,6.5,3.43,3.25,unlikely,,60:24,15.8,12.83,0,0,0,100,,59,0,0,,,
Daniil Tarasov,,0,G,8000,FLA,vs BUF,7:00 pm,Y,45.2%,-82.5,6.5,3.33,3.25,unlikely,,56:45,10.6,7.67,0,0,0,100,,64,0,0,00:00,0,
Justus Annunen,,0,G,8000,NSH,vs STL,8:00 pm,Y,46.8%,-88.0,6,3.27,3,unlikely,,51:03,7.2,8.95,0,0,0,100,,38,0,0,36:05,19.1,2.4
Garin Bjorklund,,0,G,7900,WSH,vs NYI,7:00 pm,Y,46.8%,-88.0,6.5,3.42,3.25,unlikely,,,,,0,0,0,100,,0,0,0,00:00,0,
Alex Nedeljkovic,,0,G,7900,SJ,@ CHI,8:30 pm,EVEN,44.3%,-79.5,6.5,3.25,3.25,unlikely,,57:20,11.4,9.79,0,0,0,100,,57,0,0,29:24,-3.5,
Stuart Skinner,,0,G,7800,PIT,vs OTT,7:00 pm,N,58.3%,+71.5,6.5,3.15,3.25,unlikely,,57:16,9.7,9.93,0,0,0,100,,49,0,0,00:00,0,
Anthony Stolarz,,0,G,7800,TOR,@ CGY,10:00 pm,Y,44.4%,-80.0,6,3,2.98,unlikely,,54:36,7.9,9.4,0,0,0,100,,41,0,0,00:00,0,
Charlie Lindgren,,0,G,7700,WSH,vs NYI,7:00 pm,Y,46.8%,-88.0,6.5,3.42,3.25,unlikely,,59:17,9.8,9.83,0,0,0,100,,50,0,0,,,
Logan Thompson,,0,G,7700,WSH,vs NYI,7:00 pm,Y,46.8%,-88.0,6.5,3.42,3.25,unlikely,,59:06,12.8,10.5,0,0,0,100,,59,0,0,,,
Carey Price,,0,G,7700,SJ,@ CHI,8:30 pm,EVEN,44.3%,-79.5,6.5,3.25,3.25,unlikely,,,,,0,0,0,100,,0,0,0,,,
James Reimer,,0,G,7600,OTT,@ PIT,7:00 pm,Y,41.7%,-71.5,6.5,3.25,3.15,unlikely,,54:47,6.3,6.75,0,0,0,100,,46,0,0,00:00,0,
Devin Cooley,,0,G,7600,CGY,vs TOR,10:00 pm,N,55.6%,+80.0,6,2.98,3,unlikely,,54:04,11.3,9.2,0,0,0,100,,59,0,0,00:00,0,
Ilya Sorokin,,0,G,7500,NYI,@ WSH,7:00 pm,N,53.2%,+88.0,6.5,3.25,3.42,unlikely,,59:43,14.3,11.96,0,0,0,100,,58,0,0,00:00,0,
Arvid Soderblom,,0,G,7500,CHI,vs SJ,8:30 pm,EVEN,55.7%,+79.5,6.5,3.25,3.25,unlikely,,58:11,7.3,10.52,0,0,0,100,,28,0,0,00:00,0,
Colten Ellis,,0,G,7400,BUF,@ FLA,7:00 pm,N,54.8%,+82.5,6.5,3.25,3.33,unlikely,,52:54,11.2,6.3,0,0,0,100,,72,0,0,00:00,0,
Jordan Binnington,,0,G,7400,STL,@ NSH,8:00 pm,N,53.2%,+88.0,6,3,3.27,unlikely,,55:26,6.3,10.81,0,0,0,100,,14,0,0,00:00,0,
Semyon Varlamov,,0,G,7300,NYI,@ WSH,7:00 pm,N,53.2%,+88.0,6.5,3.25,3.42,unlikely,,,,,0,0,0,100,,0,0,0,,,
Samuel Montembeault,,0,G,7300,MTL,@ MIN,7:30 pm,N,55.1%,+81.5,6.5,3.25,3.43,unlikely,,56:08,6.6,9.1,0,0,0,100,,31,0,0,00:00,2,0.3
Ukko-Pekka Luukkonen,,0,G,7200,BUF,@ FLA,7:00 pm,N,54.8%,+82.5,6.5,3.25,3.33,unlikely,,54:51,10.3,8.68,0,0,0,100,,58,0,0,,,
Eric Comrie,,0,G,7200,WPG,@ DAL,8:30 pm,N,53.5%,+87.0,5.5,2.75,3,unlikely,,55:35,9.3,10.41,0,0,0,100,,44,0,0,00:00,2,0.3
Cam Talbot,,0,G,7100,DET,@ COL,9:00 pm,N,47.1%,+112.5,6.5,3.25,3.81,unlikely,,56:04,10,9.05,0,0,0,100,,55,0,0,00:00,0,
Nikita Tolopilo,,0,G,7000,VAN,@ UTA,9:30 pm,N,39.1%,+156.0,6.5,3.25,4.14,unlikely,,54:50,14,10.27,0,0,0,100,,63,0,0,00:00,0,
Thatcher Demko,,0,G,6800,VAN,@ UTA,9:30 pm,N,39.1%,+156.0,6.5,3.25,4.14,unlikely,,56:04,9.6,9.07,0,0,0,100,,53,0,0,,,
Leevi Merilainen,,0,G,6500,OTT,@ PIT,7:00 pm,Y,41.7%,-71.5,6.5,3.25,3.15,unlikely,,53:52,4.1,8.71,0,0,0,100,,0,0,0,,,
Mads Sogaard,,0,G,6500,OTT,@ PIT,7:00 pm,Y,41.7%,-71.5,6.5,3.25,3.15,unlikely,,33:13,2.2,10.51,0,0,0,100,,0,0,0,,,
Sergei Murashov,,0,G,6500,PIT,vs OTT,7:00 pm,N,58.3%,+71.5,6.5,3.15,3.25,unlikely,,51:51,9.3,7.29,0,0,0,100,,61,0,0,,,
Marcus Hogberg,,0,G,6500,NYI,@ WSH,7:00 pm,N,53.2%,+88.0,6.5,3.25,3.42,unlikely,,13:29,-3.5,0,0,0,0,100,,0,0,0,,,
Jacob Fowler,,0,G,6500,MTL,@ MIN,7:30 pm,N,55.1%,+81.5,6.5,3.25,3.43,unlikely,,59:31,10.4,11.11,0,0,0,100,,47,0,0,,,
Thomas Milic,,0,G,6500,WPG,@ DAL,8:30 pm,N,53.5%,+87.0,5.5,2.75,3,unlikely,,46:12,3.5,2.86,0,0,0,100,,59,0,0,,,
Trent Miner,,0,G,6500,COL,vs DET,9:00 pm,Y,52.9%,-112.5,6.5,3.81,3.25,unlikely,,52:49,12.7,10.8,0,0,0,100,,57,0,0,,,
Jiri Patera,,0,G,6500,VAN,@ UTA,9:30 pm,N,39.1%,+156.0,6.5,3.25,4.14,unlikely,,56:49,-1.4,0,0,0,0,100,,0,0,0,,,
Dennis Hildeby,,0,G,6500,TOR,@ CGY,10:00 pm,Y,44.4%,-80.0,6,3,2.98,unlikely,,49:00,11.3,8.01,0,0,0,100,,65,0,0,,,
