Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
66,5048080340,LeBrockJrROTO,0,138.6,C Dylan Strome C Nick Schmaltz D Brent Burns D Simon Edvinsson G Ilya Sorokin UTIL Anthony Beauvillier W Clayton Keller W Aliaksei Protas W Lawson Crouse,,Ethen Frank,W,4.92%,2.6
67,5048321370,brit33 (6/65),0,138.5,C Auston Matthews C John Tavares D Morgan Rielly D Zach Whitecloud G Lukas Dostal UTIL Nick Schmaltz W Clayton Keller W Bobby McMann W Lawson Crouse,,James van Riemsdyk,W,4.84%,1.5
67,5048321376,brit33 (12/65),0,138.5,C Auston Matthews C John Tavares D Morgan Rielly D Ryan Shea G Joseph Woll UTIL Jared McCann W Clayton Keller W Matthew Knies W Lawson Crouse,,Connor Zary,W,4.81%,3
69,5048154695,PresidentLeach (35/50),0,138.2,C Nick Schmaltz C Justin Sourdif D Brent Burns D Josh Manson G Ilya Sorokin UTIL Clayton Keller W Dylan Guenther W JJ Peterka W Lawson Crouse,,Justin Brazeau,W,4.73%,3
70,5047990069,OneDropKing (19/142),0,138,C Matty Beniers C Andrew Copp D Moritz Seider D Vince Dunn G Lukas Dostal UTIL Jared McCann W Alex DeBrincat W Cutter Gauthier W Patrick Kane,,Connor McMichael,UTIL,4.63%,0
70,5047990126,OneDropKing (76/142),0,138,C Auston Matthews C Matty Beniers D Vince Dunn D Oliver Ekman-Larsson G Philipp Grubauer UTIL Nazem Kadri W Clayton Keller W Jared McCann W Matvei Gridin,,Patrick Kane,W,4.60%,2.8
70,5048306441,lacesoutnate (9/15),0,138,C Nick Schmaltz C Matty Beniers D Mikhail Sergachev D Zach Whitecloud G Stuart Skinner UTIL Jared McCann W Dylan Guenther W Clayton Keller W Jordan Eberle,,Brandon Montour,D,4.52%,9.3
73,5048237037,yanier.t,0,137.90001,C Dylan Larkin C Matty Beniers D Morgan Rielly D Simon Edvinsson G Dustin Wolf UTIL Christian Dvorak W Alex DeBrincat W Bryan Rust W Ethen Frank,,Ryan Leonard,W,4.39%,3
73,5048408154,Jerometurner (5/7),0,137.90001,C Dylan Strome C Christian Dvorak D Jakob Chychrun D Sam Malinski G Philipp Grubauer UTIL Bobby Brink W Tom Wilson W Trevor Zegras W Ryan Leonard,,John Carlson,D,4.35%,16
75,5048445948,stevenmsmith12 (4/5),0,137.8,C Auston Matthews C Nick Schmaltz D Mikhail Sergachev D Adam Pelech G Stuart Skinner UTIL Tommy Novak W Clayton Keller W Evgeni Malkin W Egor Chinakhov,,Zach Whitecloud,D,4.31%,8
76,5047915287,Willyk272,0,137.70001,C Auston Matthews C Matty Beniers D Brandon Montour D Vince Dunn G Lukas Dostal UTIL Elias Pettersson W Jared McCann W Jake DeBrusk W Jordan Eberle,,Oliver Ekman-Larsson,UTIL,4.27%,0
76,5048363959,Sick6ix6,0,137.70001,C Dylan Larkin C Elias Pettersson D Moritz Seider D Jamie Drysdale G John Gibson UTIL Evander Kane W Alex DeBrincat W Jake DeBrusk W Brock Boeser,,Marco Kasper,W,4.25%,7.1
76,5048437196,mjp1997 (12/20),0,137.70001,C Dylan Strome C Matty Beniers D Jakob Chychrun D Vince Dunn G Stuart Skinner UTIL Elias Pettersson W Tom Wilson W Jared McCann W Matvei Michkov,,Jamie Drysdale,D,4.21%,14.3
79,5048221921,ShineCrazyDiamond (2/7),0,137.4,C Elias Pettersson C Christian Dvorak D Jakob Chychrun D Cam York G John Gibson UTIL Travis Konecny W Trevor Zegras W Jake DeBrusk W Brock Boeser,,Evander Kane,W,4.10%,12.8
79,5048421858,simchilipep,0,137.4,C Sidney Crosby C Dylan Larkin D Vince Dunn D Parker Wotherspoon G Lukas Dostal UTIL Marco Kasper W Bryan Rust W Lucas Raymond W Jared McCann,,Aliaksei Protas,UTIL,4.10%,4.5
81,5048143087,craftylefty (40/53),0,137.3,C Nick Schmaltz C Elias Pettersson D Mikhail Sergachev D Tony DeAngelo G Lukas Dostal UTIL Brett Kulak W Dylan Guenther W Clayton Keller W JJ Peterka,,Matt Coronato,W,4.08%,4.5
82,5048390981,luckyguesses (2/4),0,137.1,C Nick Schmaltz C Christian Dvorak D Mikhail Sergachev D Adam Larsson G Ilya Sorokin UTIL Clayton Keller W Travis Konecny W Trevor Zegras W Lawson Crouse,,Ben Kindel,C,3.99%,0
83,5048031464,expostulate (4/10),0,136.90001,C Nick Schmaltz C Matty Beniers D Mikhail Sergachev D Brandon Montour G Joseph Woll UTIL Elias Pettersson W Clayton Keller W Jordan Eberle W Lawson Crouse,,John Gibson,G,3.99%,23.5
