Player,Inj,Likes,Pos,Salary,Team,Opp,Time,Fav.,Win %,Spread,Total,TeamGoal,OppGoal,Start/Line,PP Unit,avg TOI,Avg,STDV,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value,Own%,TOI,Score,Val
Nikita Tolopilo,,0,G,7100,VAN,vs TOR,7:00 pm,N,52.5%,+90.5,6.5,3.07,3.25,confirm,,53:34,12.6,10.03,30.38,10.32,10.32,100,,60,1.5,0,65:00,25.3,3.6
Joey Daccord,,0,G,6900,SEA,@ VGK,10:00 pm,N,46.6%,+114.5,6,3,3.51,confirm,,58:13,12,11.81,34.75,11.13,11.13,100,,51,1.6,0,60:00,17.9,2.6
Juuse Saros,,0,G,7500,NSH,@ NYI,7:00 pm,N,55.6%,+80.0,5.5,2.75,2.91,confirm,,57:46,10.7,9.65,28.29,9.97,8.986951427,100,,55,1.2,0,60:00,14.4,1.9
Linus Ullmark,,0,G,8400,OTT,vs NJ,7:00 pm,Y,50.5%,-102.0,5.5,3.11,2.75,confirm,,59:11,8.2,8.15,23.79,8.87,7.485767472,100,,50,0.9,0,60:00,20.7,2.5
Vitek Vanecek,,0,G,7800,UTA,vs DAL,9:00 pm,Y,45.8%,-84.5,5.5,2.81,2.75,,,58:37,8.1,8.31,25.59,8.97,8.97,100,,49,1.2,0,00:00,0,
Jakub Dobes,,0,G,7300,MTL,@ BUF,7:00 pm,N,56.0%,+78.5,6.5,3.25,3.43,confirm,,57:23,10.3,10.11,29.34,9.32,9.120767941,100,,51,1.2,0,59:58,27.2,3.7
Jordan Binnington,,0,G,8000,STL,vs CBJ,7:00 pm,Y,44.0%,-78.5,6,3.06,3,confirm,,55:18,6.5,10.89,27.33,6.85,5.548199449,100,,16,0.7,0,59:25,-1.4,
Adin Hill,,0,G,8500,VGK,vs SEA,10:00 pm,Y,53.4%,-114.5,6,3.51,3,unlikely,,52:56,4.3,6.93,0,0,0,100,,19,0,0,00:00,0,
James Reimer,,0,G,8400,OTT,vs NJ,7:00 pm,Y,50.5%,-102.0,5.5,3.11,2.75,unlikely,,54:47,6.3,6.75,0,0,0,100,,46,0,0,00:00,0,
Carter Hart,,0,G,8300,VGK,vs SEA,10:00 pm,Y,53.4%,-114.5,6,3.51,3,unlikely,,54:56,6.4,9.72,0,0,0,100,,24,0,0,,,
Anthony Stolarz,,0,G,8300,TOR,@ VAN,7:00 pm,Y,47.5%,-90.5,6.5,3.25,3.07,unlikely,,54:36,7.9,9.4,0,0,0,100,,41,0,0,00:00,2,0.2
Connor Ingram,,0,G,8200,EDM,vs MIN,10:00 pm,Y,46.5%,-87.0,6.5,3.42,3.25,unlikely,,57:43,11.5,9.33,0,0,0,100,,59,0,0,24:20,-2.1,
Ukko-Pekka Luukkonen,,0,G,8100,BUF,vs MTL,7:00 pm,Y,44.0%,-78.5,6.5,3.43,3.25,unlikely,,54:51,10.3,8.68,0,0,0,100,,58,0,0,,,
Joel Hofer,,0,G,8000,STL,vs CBJ,7:00 pm,Y,44.0%,-78.5,6,3.06,3,unlikely,,54:28,10.5,11.6,0,0,0,100,,45,0,0,00:00,0,
Calvin Pickard,,0,G,8000,EDM,vs MIN,10:00 pm,Y,46.5%,-87.0,6.5,3.42,3.25,unlikely,,54:35,6,9.37,0,0,0,100,,22,0,0,,,
Colten Ellis,,0,G,7900,BUF,vs MTL,7:00 pm,Y,44.0%,-78.5,6.5,3.43,3.25,unlikely,,52:54,11.2,6.3,0,0,0,100,,72,0,0,00:00,0,
David Rittich,,0,G,7900,NYI,vs NSH,7:00 pm,Y,44.4%,-80.0,5.5,2.91,2.75,unlikely,,59:34,10.4,9.94,0,0,0,100,,52,0,0,00:00,0,
Semyon Varlamov,,0,G,7700,NYI,vs NSH,7:00 pm,Y,44.4%,-80.0,5.5,2.91,2.75,unlikely,,,,,0,0,0,100,,0,0,0,,,
Jake Oettinger,,0,G,7600,DAL,@ UTA,9:00 pm,N,54.2%,+84.5,5.5,2.75,2.81,unlikely,,59:15,11.5,9.26,0,0,0,100,,60,0,0,00:00,0,
Justus Annunen,,0,G,7500,NSH,@ NYI,7:00 pm,N,55.6%,+80.0,5.5,2.75,2.91,unlikely,,51:03,7.2,8.95,0,0,0,100,,38,0,0,00:00,0,
Elvis Merzlikins,,0,G,7400,CBJ,@ STL,7:00 pm,N,56.0%,+78.5,6,3,3.06,unlikely,,56:23,9.5,9.36,0,0,0,100,,51,0,0,00:00,0,
Samuel Montembeault,,0,G,7300,MTL,@ BUF,7:00 pm,N,56.0%,+78.5,6.5,3.25,3.43,unlikely,,56:08,6.6,9.1,0,0,0,100,,31,0,0,00:00,0,
Filip Gustavsson,,0,G,7200,MIN,@ EDM,10:00 pm,N,53.5%,+87.0,6.5,3.25,3.42,unlikely,,59:07,13.2,7.39,27.28,0,12.49724963,100,,72,1.7,0,00:00,0,
Kevin Lankinen,,0,G,7100,VAN,vs TOR,7:00 pm,N,52.5%,+90.5,6.5,3.07,3.25,unlikely,,54:09,8,9.76,26.73,0,7.207849833,100,,39,1,0,00:00,2,0.3
Jacob Markstrom,,0,G,7000,NJ,@ OTT,7:00 pm,N,49.5%,+102.0,5.5,2.75,3.11,unlikely,,56:52,8.8,10.12,27.84,0,7.602800148,100,,43,1.1,0,00:00,0,
Philipp Grubauer,,0,G,6900,SEA,@ VGK,10:00 pm,N,46.6%,+114.5,6,3,3.51,unlikely,,55:46,13.7,9.46,33.65,0,14.72732567,100,,65,2.1,0,00:00,0,
Thatcher Demko,,0,G,6900,VAN,vs TOR,7:00 pm,N,52.5%,+90.5,6.5,3.07,3.25,unlikely,,56:04,9.6,9.07,0,0,0,100,,53,0,0,,,
Matt Murray,,0,G,6700,SEA,@ VGK,10:00 pm,N,46.6%,+114.5,6,3,3.51,unlikely,,43:22,8,8.16,0,0,0,100,,49,0,0,,,
Jacob Fowler,,0,G,6500,MTL,@ BUF,7:00 pm,N,56.0%,+78.5,6.5,3.25,3.43,unlikely,,59:31,10.4,11.11,0,0,0,100,,47,0,0,,,
Leevi Merilainen,,0,G,6500,OTT,vs NJ,7:00 pm,Y,50.5%,-102.0,5.5,3.11,2.75,unlikely,,53:52,4.1,8.71,0,0,0,100,,0,0,0,,,
Mads Sogaard,,0,G,6500,OTT,vs NJ,7:00 pm,Y,50.5%,-102.0,5.5,3.11,2.75,unlikely,,33:13,2.2,10.51,0,0,0,100,,0,0,0,,,
Nico Daws,,0,G,6500,NJ,@ OTT,7:00 pm,N,49.5%,+102.0,5.5,2.75,3.11,unlikely,,60:00,22.8,0,0,0,0,100,,0,0,0,,,
Marcus Hogberg,,0,G,6500,NYI,vs NSH,7:00 pm,Y,44.4%,-80.0,5.5,2.91,2.75,unlikely,,13:29,-3.5,0,0,0,0,100,,0,0,0,,,
Carl Lindbom,,0,G,6500,VGK,vs SEA,10:00 pm,Y,53.4%,-114.5,6,3.51,3,unlikely,,60:05,5.9,5.1,0,0,0,100,,57,0,0,,,
Dennis Hildeby,,0,G,6500,TOR,@ VAN,7:00 pm,Y,47.5%,-90.5,6.5,3.25,3.07,unlikely,,49:00,11.3,8.01,0,0,0,100,,65,0,0,,,
Jiri Patera,,0,G,6500,VAN,vs TOR,7:00 pm,N,52.5%,+90.5,6.5,3.07,3.25,unlikely,,56:49,-1.4,0,0,0,0,100,,0,0,0,,,
